Gene	Direction
ACTRT2	D1_Specific
ACVR1C	D1_Specific
ANKS4B	D1_Specific
AREL1	D1_Specific
ARL4D	D1_Specific
ATP1A1	D1_Specific
ATRNL1	D1_Specific
BCL2	D1_Specific
BRINP1	D1_Specific
CCDC110	D1_Specific
CCK	D1_Specific
CCND2	D1_Specific
CCNG1	D1_Specific
CD109	D1_Specific
CDKL5	D1_Specific
CHST15	D1_Specific
CLIC3	D1_Specific
COBLL1	D1_Specific
CSNK1G3	D1_Specific
DIO3	D1_Specific
DLK1	D1_Specific
DOK5	D1_Specific
DPY19L1	D1_Specific
DPY19L3	D1_Specific
DRD1	D1_Specific
DUSP7	D1_Specific
EGR1	D1_Specific
ELMO1	D1_Specific
ERC2	D1_Specific
FAM102B	D1_Specific
FAM126B	D1_Specific
FAM43B	D1_Specific
FAM81A	D1_Specific
FAR2	D1_Specific
FGF11	D1_Specific
FITM1	D1_Specific
FXYD7	D1_Specific
GABRD	D1_Specific
GADD45A	D1_Specific
GCNT2	D1_Specific
GLS	D1_Specific
GMCL2	D1_Specific
GMCL1	D1_Specific
GREM2	D1_Specific
HSD17B14	D1_Specific
HTR1F	D1_Specific
ID2	D1_Specific
IL1RN	D1_Specific
ISLR2	D1_Specific
KCNA4	D1_Specific
KCNH3	D1_Specific
KCNH7	D1_Specific
KCNJ2	D1_Specific
KLHL13	D1_Specific
LGI1	D1_Specific
LIX1	D1_Specific
LRRC39	D1_Specific
LXN	D1_Specific
METRNL	D1_Specific
MRAP2	D1_Specific
NEXN	D1_Specific
NMB	D1_Specific
NOX1	D1_Specific
NRCAM	D1_Specific
NT5DC3	D1_Specific
OPRK1	D1_Specific
PDHA2	D1_Specific
PDZD2	D1_Specific
PLPPR1	D1_Specific
PRKCH	D1_Specific
PTGS2	D1_Specific
RAB26	D1_Specific
RASL11B	D1_Specific
RBP1	D1_Specific
RGCC	D1_Specific
RGS18	D1_Specific
RGS20	D1_Specific
RIC8B	D1_Specific
SAMD14	D1_Specific
SH3RF2	D1_Specific
SLAMF1	D1_Specific
SLC25A30	D1_Specific
SLC35D3	D1_Specific
SLC7A8	D1_Specific
SLCO1A2	D1_Specific
SOX11	D1_Specific
SSTR4	D1_Specific
SSTR5	D1_Specific
STRN	D1_Specific
SV2B	D1_Specific
TAC1	D1_Specific
TAS2R4	D1_Specific
TMEM88B	D1_Specific
TNFSF9	D1_Specific
TOMM70	D1_Specific
TRPC3	D1_Specific
WDR6	D1_Specific
YPEL4	D1_Specific
ZDHHC23	D1_Specific
A2M	D2_Specific
ABCA1	D2_Specific
ABCB1	D2_Specific
ABCB1	D2_Specific
ABCB4	D2_Specific
ABCC1	D2_Specific
ABCD1	D2_Specific
ABHD10	D2_Specific
ABHD4	D2_Specific
ABI2	D2_Specific
ABI3	D2_Specific
ABLIM2	D2_Specific
ACADL	D2_Specific
ACAP2	D2_Specific
ACKR1	D2_Specific
ACOT13	D2_Specific
ACOT9	D2_Specific
ACSBG1	D2_Specific
ACTA1	D2_Specific
ACTL6A	D2_Specific
ACYP2	D2_Specific
ADAM17	D2_Specific
ADAMTS4	D2_Specific
ADAP2	D2_Specific
ADCY4	D2_Specific
ADCY7	D2_Specific
ADGRE1	D2_Specific
ADGRE5	D2_Specific
ADGRF5	D2_Specific
ADGRG5	D2_Specific
ADGRG6	D2_Specific
ADORA2A	D2_Specific
AEBP1	D2_Specific
AFF1	D2_Specific
AGA	D2_Specific
AHNAK	D2_Specific
AIF1	D2_Specific
AIM2	D2_Specific
AIP	D2_Specific
TAF9	D2_Specific
AKAP13	D2_Specific
AKAP8L	D2_Specific
AKNA	D2_Specific
