Gene	Direction
Slc17a7	Overlap
Lpl	Overlap
Nrn1	Overlap
Pcdh18	Overlap
Ano3	Overlap
Actn2	Overlap
Kcnv1	Overlap
Pcsk1	Overlap
Rab15	Overlap
Usp2	Overlap
Tmem263	Overlap
Lgi2	Overlap
Prss12	Overlap
Actr3b	Overlap
Tmem41a	Overlap
Rnf150	Overlap
C1ql3	Overlap
Zfp365	Overlap
Arl15	Overlap
Rxrg	Overlap
Ppp1r2	Overlap
Arhgap6	Overlap
Rasd2	Overlap
Rbp4	Overlap
Ppp1r7	Overlap
Akap5	Overlap
Rab40b	Overlap
Zdhhc22	Overlap
Arpp19	Overlap
Cdc42se2	Overlap
Ifitm2	Overlap
Cited4	Overlap
Macrod2	Overlap
Snx7	Overlap
Scn4b	Overlap
Nrep	Overlap
Ephx4	Overlap
Kcnt2	Overlap
Crhbp	Overlap
Prmt8	Overlap
Ankrd33b	Overlap
Scn3b	Overlap
Synpr	Overlap
Akt3	Overlap
Mical2	Overlap
Drd5	Overlap
Nefh	Overlap
Rasgrp1	Overlap
Kcnip2	Overlap
Npas2	Overlap
Slc24a2	Overlap
Armcx3	Overlap
Slc6a17	Overlap
Fam131b	Overlap
Filip1	Overlap
Bola1	Overlap
Nexn	D1_Specific
Tac1	D1_Specific
Lgi1	D1_Specific
Nmb	D1_Specific
Fxyd7	D1_Specific
Rgs20	D1_Specific
Rasl11b	D1_Specific
Strn	D1_Specific
Lxn	D1_Specific
Drd1	D1_Specific
Slc35d3	D1_Specific
Tomm70a	D1_Specific
Prkch	D1_Specific
Ptgs2	D1_Specific
Plppr1	D1_Specific
Dio3	D1_Specific
Slamf1	D1_Specific
Ccdc110	D1_Specific
Acvr1c	D1_Specific
Kcna4	D1_Specific
Atrnl1	D1_Specific
Nt5dc3	D1_Specific
Dlk1	D1_Specific
Fgf11	D1_Specific
Sh3rf2	D1_Specific
Sv2b	D1_Specific
Clic3	D1_Specific
Id2	D1_Specific
Far2	D1_Specific
Cck	D1_Specific
Nox1	D1_Specific
Slc7a8	D1_Specific
Gcnt2	D1_Specific
Samd14	D1_Specific
Dusp7	D1_Specific
Wdr6	D1_Specific
Nnat	D1_Specific
Ypel4	D1_Specific
Rbp1	D1_Specific
Tas2r108	D1_Specific
Pdzd2	D1_Specific
Brinp1	D1_Specific
Atp1a1	D1_Specific
Fam102b	D1_Specific
Dpy19l3	D1_Specific
Bcl2	D1_Specific
Zdhhc23	D1_Specific
Arel1	D1_Specific
Kcnj2	D1_Specific
Fam43b	D1_Specific
Gpr50	D1_Specific
Gls	D1_Specific
Rab26	D1_Specific
Fam126b	D1_Specific
Gadd45a	D1_Specific
Tnfsf9	D1_Specific
Ccng1	D1_Specific
Lrrc39	D1_Specific
Slco1a1	D1_Specific
Elmo1	D1_Specific
Htr1f	D1_Specific
Gdf11	D1_Specific
Sstr4	D1_Specific
Oprk1	D1_Specific
Cdkl5	D1_Specific
Kcnh3	D1_Specific
Gmcl1	D1_Specific
Dpy19l1	D1_Specific
Slc25a30	D1_Specific
Islr2	D1_Specific
Gabrd	D1_Specific
Nrcam	D1_Specific
Cd109	D1_Specific
Rgcc	D1_Specific
Arl4d	D1_Specific
Dok5	D1_Specific
Chst15	D1_Specific
Ric8b	D1_Specific
Metrnl	D1_Specific
Fitm1	D1_Specific
Csnk1g3	D1_Specific
Rgs18	D1_Specific
Pdha2	D1_Specific
Egr1	D1_Specific
Kcnh7	D1_Specific
Mrap2	D1_Specific
Sstr5	D1_Specific
Sox11	D1_Specific
Fam81a	D1_Specific
Cobll1	D1_Specific
Lix1	D1_Specific
Grem2	D1_Specific
Erc2	D1_Specific
Anks4b	D1_Specific
Klhl13	D1_Specific
Hsd17b14	D1_Specific
Trpc3	D1_Specific
Actrt2	D1_Specific
Ccnd2	D1_Specific
Il1rn	D1_Specific
Tmem88b	D1_Specific
Cxcl13	D2_Specific
Slfn4	D2_Specific
C3	D2_Specific
Cd68	D2_Specific
Cd74	D2_Specific
C4b	D2_Specific
Gbp2	D2_Specific
Adgre1	D2_Specific
Plac8	D2_Specific
Cybb	D2_Specific
Itgal	D2_Specific
Itgam	D2_Specific
Serping1	D2_Specific
C1qb	D2_Specific
Ifit1	D2_Specific
Mpeg1	D2_Specific
Ptprc	D2_Specific
Rnf213	D2_Specific
Ifi44l	D2_Specific
Ncf1	D2_Specific
Cxcl9	D2_Specific
Ctsh	D2_Specific
Lcp2	D2_Specific
Stat1	D2_Specific
Cp	D2_Specific
Gbp5	D2_Specific
Parp14	D2_Specific
Lgals3bp	D2_Specific
Sp100	D2_Specific
Siglec1	D2_Specific
Cd53	D2_Specific
Dock8	D2_Specific
Ifit2	D2_Specific
Lcp1	D2_Specific
Slfn5	D2_Specific
Ptpn6	D2_Specific
Plek	D2_Specific
Parp9	D2_Specific
Anxa3	D2_Specific
Ctsc	D2_Specific
Casp4	D2_Specific
C2	D2_Specific
Axl	D2_Specific
Nckap1l	D2_Specific
Csf1r	D2_Specific
Usp18	D2_Specific
Lyn	D2_Specific
Epsti1	D2_Specific
Oas2	D2_Specific
Ddx60	D2_Specific
Evi2b	D2_Specific
Samd9l	D2_Specific
Gpnmb	D2_Specific
Grn	D2_Specific
Ctsz	D2_Specific
Pld4	D2_Specific
Cfh	D2_Specific
Itgb2	D2_Specific
Fyb	D2_Specific
Irf7	D2_Specific
Ifih1	D2_Specific
Trim25	D2_Specific
Cxcl17	D2_Specific
Dock2	D2_Specific
Psmb8	D2_Specific
Ifi44	D2_Specific
Gfap	D2_Specific
Casp1	D2_Specific
F10	D2_Specific
Cd84	D2_Specific
Ddx58	D2_Specific
Ifi27	D2_Specific
Trim5	D2_Specific
B2m	D2_Specific
Laptm5	D2_Specific
Eif2ak2	D2_Specific
Rsad2	D2_Specific
Apbb1ip	D2_Specific
Inpp5d	D2_Specific
Herc6	D2_Specific
Oasl2	D2_Specific
Ifit3	D2_Specific
Zc3hav1	D2_Specific
Sp110	D2_Specific
Dtx3l	D2_Specific
Cd4	D2_Specific
Csf2rb	D2_Specific
Slfn2	D2_Specific
C3ar1	D2_Specific
Dapp1	D2_Specific
Tmem176a	D2_Specific
Mki67	D2_Specific
Ubd	D2_Specific
Dhx58	D2_Specific
Igtp	D2_Specific
Lpcat2	D2_Specific
Scimp	D2_Specific
Rarres1	D2_Specific
Rac2	D2_Specific
Uba7	D2_Specific
Ctss	D2_Specific
Btk	D2_Specific
Cxcl10	D2_Specific
Stat2	D2_Specific
Slc11a1	D2_Specific
Slamf9	D2_Specific
Ly86	D2_Specific
C1qa	D2_Specific
Rpl10a	D2_Specific
Cxcl16	D2_Specific
Clec4a3	D2_Specific
Wdfy4	D2_Specific
Tlr7	D2_Specific
Parp12	D2_Specific
Cyba	D2_Specific
Cd86	D2_Specific
Pik3ap1	D2_Specific
Tgfbr1	D2_Specific
Cd37	D2_Specific
Pla2g4a	D2_Specific
Cyth4	D2_Specific
St14	D2_Specific
Fcgr2b	D2_Specific
Tlr1	D2_Specific
Ucp2	D2_Specific
Msn	D2_Specific
Tmem176b	D2_Specific
Ifi47	D2_Specific
Pik3cg	D2_Specific
Tlr13	D2_Specific
Phf11b	D2_Specific
Tgfb1	D2_Specific
Sp140	D2_Specific
Clec12a	D2_Specific
Tlr3	D2_Specific
Itga4	D2_Specific
Clec2g	D2_Specific
Vav1	D2_Specific
Myo1f	D2_Specific
Clec4a1	D2_Specific
Mafb	D2_Specific
P2ry13	D2_Specific
Was	D2_Specific
Vwa5a	D2_Specific
Hck	D2_Specific
Lgmn	D2_Specific
Hk2	D2_Specific
Irf1	D2_Specific
Arhgap17	D2_Specific
Cd33	D2_Specific
Vcam1	D2_Specific
Mlkl	D2_Specific
Slc15a3	D2_Specific
Rgs1	D2_Specific
Olr1	D2_Specific
Lacc1	D2_Specific
Spp1	D2_Specific
Cd48	D2_Specific
C1qc	D2_Specific
Naip5	D2_Specific
Soat1	D2_Specific
Erap1	D2_Specific
Slc2a5	D2_Specific
Nlrc5	D2_Specific
Bst2	D2_Specific
Sipa1	D2_Specific
Trpm2	D2_Specific
P2ry12	D2_Specific
Tagap	D2_Specific
A2m	D2_Specific
Sox4	D2_Specific
Ikzf1	D2_Specific
Tyrobp	D2_Specific
Mob1a	D2_Specific
Cttnbp2nl	D2_Specific
Il2rg	D2_Specific
Il7r	D2_Specific
Sgpl1	D2_Specific
Atm	D2_Specific
Ifi27l2b	D2_Specific
Cyp4v3	D2_Specific
Zbp1	D2_Specific
Rhoh	D2_Specific
Man2b1	D2_Specific
Tlr9	D2_Specific
Gna15	D2_Specific
Irf8	D2_Specific
Cd180	D2_Specific
Abca1	D2_Specific
Golm1	D2_Specific
Samsn1	D2_Specific
Hcls1	D2_Specific
Satb2	D2_Specific
Blnk	D2_Specific
Selplg	D2_Specific
Elf1	D2_Specific
Ms4a6c	D2_Specific
Lgals9	D2_Specific
Rbl1	D2_Specific
Rassf4	D2_Specific
Trim21	D2_Specific
Tbr1	D2_Specific
Zfp36l1	D2_Specific
Arhgdib	D2_Specific
Fcer1g	D2_Specific
Shc1	D2_Specific
P2rx7	D2_Specific
Aim2	D2_Specific
Plcg2	D2_Specific
Klra1	D2_Specific
Ube2l6	D2_Specific
Hpgds	D2_Specific
