GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0006813	3.96402412675575e-07	8.18520408163265	1.53793061324212	11	231	potassium ion transport	ACTN2;ATP1A1;DRD1;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;SLC24A2	0.000415212318917661
2	GO:0007610	4.09306870091753e-07	4.9964580209895	3.97465184461275	17	597	behavior	BRINP1;CCK;CRHBP;DRD1;DRD5;EGR1;GLS;ID2;NPAS2;OPRK1;PTGS2;RASD2;SLC17A7;SLC24A2;STRN;TAC1;USP2	0.000415212318917661
3	GO:0001963	7.01789952081686e-07	37.1840659340659	0.173100415343269	5	26	synaptic transmission, dopaminergic	CRHBP;DRD1;DRD5;PTGS2;RASD2	0.000415212318917661
4	GO:0042391	7.73384436237741e-07	5.74121298331825	2.80289518690447	14	421	regulation of membrane potential	ACTN2;ATP1A1;CCK;DRD1;GABRD;KCNH3;KCNH7;KCNIP2;KCNJ2;NRCAM;SCN3B;SCN4B;SLC17A7;TAC1	0.000415212318917661
5	GO:0034220	7.76097792369459e-07	3.75978682170543	7.34345223552407	23	1103	ion transmembrane transport	ACTN2;ANO3;ATP1A1;CRHBP;DRD1;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC25A30;SLC35D3;SLC6A17;SLC7A8;TRPC3	0.000415212318917661
6	GO:0071805	1.20649020774086e-06	8.23770701943291	1.37814561446372	10	207	potassium ion transmembrane transport	ACTN2;ATP1A1;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;SLC24A2	0.000462327991823678
7	GO:0015672	1.37888762641514e-06	5.0937849944009	3.38877351575861	15	509	monovalent inorganic cation transport	ACTN2;ATP1A1;DRD1;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC6A17	0.000462327991823678
8	GO:0006811	1.48638939264771e-06	3.21015765924052	10.7122526264354	28	1609	ion transport	ACTN2;ANO3;ATP1A1;CCK;CRHBP;DRD1;GABRD;GLS;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;PTGS2;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC25A30;SLC35D3;SLC6A17;SLC7A8;SLCO1A2;SSTR4;TRPC3	0.000462327991823678
9	GO:0098660	1.55549604725723e-06	4.1183970856102	5.40605912533594	19	812	inorganic ion transmembrane transport	ACTN2;ANO3;ATP1A1;DRD1;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC25A30;SLC6A17;TRPC3	0.000462327991823678
10	GO:0055085	1.73558035034928e-06	3.24542479403432	10.153005130711	27	1525	transmembrane transport	ACTN2;ANO3;ARPP19;ATP1A1;CRHBP;DRD1;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC25A30;SLC35D3;SLC6A17;SLC7A8;SLCO1A2;SV2B;TOMM70;TRPC3	0.000464267743718433
11	GO:0043269	2.21589833511864e-06	4.38226840227303	4.49395309064256	17	675	regulation of ion transport	ACTN2;ATP1A1;CCK;CRHBP;DRD1;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNV1;NOX1;PTGS2;SCN3B;SCN4B;SSTR4;TRPC3	0.000538866186040215
12	GO:0001508	2.6155420278796e-06	10.3936247283265	0.872159784998778	8	131	action potential	ATP1A1;DRD1;KCNIP2;KCNJ2;NRCAM;SCN3B;SCN4B;TAC1	0.000583047910381493
13	GO:0007268	4.12680445519162e-06	4.17046313799622	4.70699975568043	17	707	chemical synaptic transmission	AKAP5;CRHBP;DRD1;DRD5;ERC2;GABRD;GLS;HTR1F;KCNIP2;LGI1;OPRK1;PTGS2;RASD2;SLC17A7;SLC24A2;SV2B;TAC1	0.000788514422688398
14	GO:0098916	4.12680445519162e-06	4.17046313799622	4.70699975568043	17	707	anterograde trans-synaptic signaling	AKAP5;CRHBP;DRD1;DRD5;ERC2;GABRD;GLS;HTR1F;KCNIP2;LGI1;OPRK1;PTGS2;RASD2;SLC17A7;SLC24A2;SV2B;TAC1	0.000788514422688398
15	GO:0099537	4.79338259419813e-06	4.12054628130061	4.7602614219399	17	715	trans-synaptic signaling	AKAP5;CRHBP;DRD1;DRD5;ERC2;GABRD;GLS;HTR1F;KCNIP2;LGI1;OPRK1;PTGS2;RASD2;SLC17A7;SLC24A2;SV2B;TAC1	0.000854819895965333
16	GO:0099536	6.9039972244115e-06	4.00062068547899	4.89341558758857	17	735	synaptic signaling	AKAP5;CRHBP;DRD1;DRD5;ERC2;GABRD;GLS;HTR1F;KCNIP2;LGI1;OPRK1;PTGS2;RASD2;SLC17A7;SLC24A2;SV2B;TAC1	0.0011542620359563
17	GO:0098655	8.5669635614636e-06	3.76872942101056	5.51924016613731	18	829	cation transmembrane transport	ACTN2;ATP1A1;CRHBP;DRD1;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC6A17;SLC7A8;TRPC3	0.00134803691334795
18	GO:0007613	1.44980729750125e-05	9.89644607843137	0.792267285609577	7	119	memory	BRINP1;CCK;DRD1;PTGS2;SLC17A7;SLC24A2;TAC1	0.00215457473378658
19	GO:0051049	1.76864361222841e-05	2.82066714490674	11.4978622037625	27	1727	regulation of transport	ACTN2;ACVR1C;AKAP5;ARPP19;ATP1A1;CCK;CRHBP;DRD1;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNV1;NOX1;OPRK1;PTGS2;RAB15;RBP4;RGCC;SCN3B;SCN4B;SLC17A7;SLC35D3;SSTR4;TAC1;TRPC3	0.00249006403300579
20	GO:0098662	2.24301401761285e-05	3.79103841116086	4.80686537991693	16	722	inorganic cation transmembrane transport	ACTN2;ATP1A1;DRD1;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC6A17;TRPC3	0.00300003124855719
