GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0010817	2.98548816229321e-05	9.58181346702394	0.934693628199646	7	510	regulation of hormone levels	DIO3;HSD17B14;IL1RN;NMB;RBP1;SOX11;SSTR5	0.0440658052754478
2	GO:0008285	0.00114112530071612	5.93901515151515	1.22059991447248	6	666	negative regulation of cell population proliferation	BCL2;CD109;IFITM1;SOX11;SSTR5;WDR6	0.168919808251899
3	GO:0032879	0.00156983678960334	3.45778114350625	4.86223959924247	12	2653	regulation of localization	BCL2;CLIC3;FGF11;FITM1;FXYD7;IFITM1;MRAP2;NEFH;NMB;RAB26;SOX11;SSTR5	0.168919808251899
4	GO:0042127	0.00160720785049232	4.00896252036936	2.90854664304478	9	1587	regulation of cell population proliferation	BCL2;CD109;IFITM1;NMB;SLAMF1;SOX11;SSTR5;TNFSF9;WDR6	0.168919808251899
5	GO:0040018	0.0016549860827315	37.5760368663594	0.06048017594233	2	33	positive regulation of multicellular organism growth	BCL2;DIO3	0.168919808251899
6	GO:0110111	0.00175642330208183	36.3995535714286	0.062312908546643	2	34	negative regulation of animal organ morphogenesis	BCL2;DIO3	0.168919808251899
7	GO:0032848	0.00183273260431305	Inf	0.00183273260431303	1	1	negative regulation of cellular pH reduction	BCL2	0.168919808251899
8	GO:0046671	0.00183273260431305	Inf	0.00183273260431303	1	1	negative regulation of retinal cell programmed cell death	BCL2	0.168919808251899
9	GO:0097009	0.00186075523300197	35.2943722943723	0.0641456411509561	2	35	energy homeostasis	METRNL;MRAP2	0.168919808251899
10	GO:0046879	0.00223637151661941	8.16963830871116	0.560816176919787	4	306	hormone secretion	IL1RN;NMB;SOX11;SSTR5	0.168919808251899
11	GO:0010648	0.00230166363428639	4.08356015242243	2.46319262019671	8	1344	negative regulation of cell communication	BCL2;CD109;DLK1;GREM2;IL1RN;MRAP2;NMB;SLAMF1	0.168919808251899
12	GO:0023057	0.00233437503803723	4.07359630660602	2.46869081800965	8	1347	negative regulation of signaling	BCL2;CD109;DLK1;GREM2;IL1RN;MRAP2;NMB;SLAMF1	0.168919808251899
13	GO:0051384	0.00236551830937576	12.5843045843046	0.267578960229703	3	146	response to glucocorticoid	BCL2;IL1RN;SSTR5	0.168919808251899
14	GO:0009914	0.00248418181653015	7.92876576799406	0.577310770358605	4	315	hormone transport	IL1RN;NMB;SOX11;SSTR5	0.168919808251899
15	GO:0048592	0.00270153844163019	11.9918518518519	0.280408088459894	3	153	eye morphogenesis	BCL2;DIO3;SOX11	0.168919808251899
16	GO:0051049	0.0028973086517832	3.64734741393647	3.1651292076486	9	1727	regulation of transport	BCL2;CLIC3;FGF11;FXYD7;NEFH;NMB;RAB26;SOX11;SSTR5	0.168919808251899
17	GO:0031960	0.003175032405504	11.3067784765898	0.296902681898711	3	162	response to corticosteroid	BCL2;IL1RN;SSTR5	0.168919808251899
18	GO:0048546	0.00361966289486843	24.7598784194529	0.0898038976113385	2	49	digestive tract morphogenesis	BCL2;SOX11	0.168919808251899
19	GO:0048639	0.00363627243761064	10.7598137059215	0.311564542733215	3	170	positive regulation of developmental growth	BCL2;DIO3;ISLR2	0.168919808251899
20	GO:0042404	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	thyroid hormone catabolic process	DIO3	0.168919808251899
21	GO:0042478	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	regulation of eye photoreceptor cell development	DIO3	0.168919808251899
22	GO:0042480	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	negative regulation of eye photoreceptor cell development	DIO3	0.168919808251899
23	GO:0043375	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	CD8-positive, alpha-beta T cell lineage commitment	BCL2	0.168919808251899
24	GO:0045583	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	regulation of cytotoxic T cell differentiation	TNFSF9	0.168919808251899
25	GO:0045585	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	positive regulation of cytotoxic T cell differentiation	TNFSF9	0.168919808251899
26	GO:0061386	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	closure of optic fissure	SOX11	0.168919808251899
27	GO:0097166	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	lens epithelial cell proliferation	SOX11	0.168919808251899
28	GO:0097474	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	retinal cone cell apoptotic process	DIO3	0.168919808251899
29	GO:1904106	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	protein localization to microvillus	ANKS4B	0.168919808251899
30	GO:2000349	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	negative regulation of CD40 signaling pathway	SLAMF1	0.168919808251899
31	GO:2001109	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	regulation of lens epithelial cell proliferation	SOX11	0.168919808251899
32	GO:2001111	0.00366221806508182	563.379310344828	0.00366546520862606	1	2	positive regulation of lens epithelial cell proliferation	SOX11	0.168919808251899
33	GO:2000649	0.00437959948206531	22.3722527472527	0.0989675606329037	2	54	regulation of sodium ion transmembrane transporter activity	FGF11;FXYD7	0.172361059991207
34	GO:0023052	0.00468139209124368	2.79329576398293	11.4765715682082	19	6262	signaling	BCL2;CD109;CLIC3;DLK1;FGF11;FXYD7;GREM2;IFITM1;IL1RN;METRNL;MRAP2;NMB;RAB26;SAMD14;SLAMF1;SOX11;SSTR5;TAS2R4;TNFSF9	0.172361059991207
35	GO:0008283	0.00482863806932861	3.35039703954976	3.41254810923086	9	1862	cell population proliferation	BCL2;CD109;IFITM1;NMB;SLAMF1;SOX11;SSTR5;TNFSF9;WDR6	0.172361059991207
36	GO:0045669	0.00503611540812163	20.7691326530612	0.106298491050156	2	58	positive regulation of osteoblast differentiation	IFITM1;SOX11	0.172361059991207
37	GO:0030278	0.00510914788455038	9.49441504997061	0.351884660028102	3	192	regulation of ossification	BCL2;IFITM1;SOX11	0.172361059991207
38	GO:0002277	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	myeloid dendritic cell activation involved in immune response	SLAMF1	0.172361059991207
39	GO:0006808	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	regulation of nitrogen utilization	BCL2	0.172361059991207
40	GO:0021747	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	cochlear nucleus development	BCL2	0.172361059991207
41	GO:0033693	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	neurofilament bundle assembly	NEFH	0.172361059991207
42	GO:0038098	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	sequestering of BMP from receptor via BMP binding	GREM2	0.172361059991207
43	GO:0045065	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	cytotoxic T cell differentiation	TNFSF9	0.172361059991207
44	GO:0046668	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	regulation of retinal cell programmed cell death	BCL2	0.172361059991207
45	GO:0048936	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	peripheral nervous system neuron axonogenesis	NEFH	0.172361059991207
46	GO:0099185	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	postsynaptic intermediate filament cytoskeleton organization	NEFH	0.172361059991207
47	GO:0099575	0.00548846193738939	281.672413793103	0.00549819781293909	1	3	regulation of protein catabolic process at presynapse, modulating synaptic transmission	RAB26	0.172361059991207
48	GO:0009968	0.00573577876939431	3.77501159182509	2.24693017288778	7	1226	negative regulation of signal transduction	BCL2;CD109;DLK1;GREM2;IL1RN;MRAP2;SLAMF1	0.176375197158875
49	GO:1902305	0.00610038053651633	18.7523041474654	0.117294886676034	2	64	regulation of sodium ion transmembrane transport	FGF11;FXYD7	0.177745180648659
50	GO:0048585	0.00627701001886433	3.41351210772698	2.8975502474189	8	1581	negative regulation of response to stimulus	BCL2;CD109;DLK1;GREM2;IL1RN;METRNL;MRAP2;SLAMF1	0.177745180648659
51	GO:0042446	0.00647602654648979	18.1640625	0.12096035188466	2	66	hormone biosynthetic process	DIO3;HSD17B14	0.177745180648659
52	GO:0050670	0.00672085045425405	8.575225943647	0.388539312114362	3	212	regulation of lymphocyte proliferation	BCL2;SOX11;TNFSF9	0.177745180648659
53	GO:0040014	0.00686199137863883	17.6114718614719	0.124625817093286	2	68	regulation of multicellular organism growth	BCL2;DIO3	0.177745180648659
54	GO:0032944	0.00689682150666279	8.49289099526066	0.392204777322989	3	214	regulation of mononuclear cell proliferation	BCL2;SOX11;TNFSF9	0.177745180648659
55	GO:0042445	0.00707552958172339	8.41210224308816	0.395870242531615	3	216	hormone metabolic process	DIO3;HSD17B14;RBP1	0.177745180648659
56	GO:0019740	0.0073114697671508	187.770114942529	0.00733093041725212	1	4	nitrogen utilization	BCL2	0.177745180648659
57	GO:0060300	0.0073114697671508	187.770114942529	0.00733093041725212	1	4	regulation of cytokine activity	GREM2	0.177745180648659
58	GO:1990009	0.0073114697671508	187.770114942529	0.00733093041725212	1	4	retinal cell apoptotic process	DIO3	0.177745180648659
59	GO:0045597	0.00750291625077236	3.97851966873706	1.78141609139227	6	972	positive regulation of cell differentiation	BCL2;IFITM1;ISLR2;METRNL;SOX11;TNFSF9	0.177745180648659
60	GO:0070663	0.00850413797209609	7.85136452241715	0.42336123159631	3	231	regulation of leukocyte proliferation	BCL2;SOX11;TNFSF9	0.177745180648659
61	GO:0090092	0.00901541820534263	7.68049594659037	0.432524894617875	3	236	regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	CD109;GREM2;SOX11	0.177745180648659
62	GO:0014042	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	positive regulation of neuron maturation	BCL2	0.177745180648659
63	GO:0035332	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	positive regulation of hippo signaling	SOX11	0.177745180648659
64	GO:0038169	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	somatostatin receptor signaling pathway	SSTR5	0.177745180648659
65	GO:0038170	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	somatostatin signaling pathway	SSTR5	0.177745180648659
66	GO:0045636	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	positive regulation of melanocyte differentiation	BCL2	0.177745180648659
67	GO:0046666	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	retinal cell programmed cell death	BCL2	0.177745180648659
68	GO:0060023	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	soft palate development	SOX11	0.177745180648659
69	GO:0106071	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway	MRAP2	0.177745180648659
70	GO:1904970	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	brush border assembly	ANKS4B	0.177745180648659
71	GO:2000660	0.00913124709113389	140.818965517241	0.00916366302156515	1	5	negative regulation of interleukin-1-mediated signaling pathway	IL1RN	0.177745180648659
72	GO:0051094	0.00958442386520352	3.40112097453509	2.47235628321828	7	1349	positive regulation of developmental process	BCL2;DIO3;IFITM1;ISLR2;METRNL;SOX11;TNFSF9	0.177745180648659
73	GO:0010507	0.00961711150782698	14.7016274864376	0.148451340949355	2	81	negative regulation of autophagy	BCL2;WDR6	0.177745180648659
74	GO:0014031	0.0103122170250462	14.161149825784	0.153949538762295	2	84	mesenchymal cell development	BCL2;SOX11	0.177745180648659
75	GO:0030510	0.0105487577417792	13.9896729776248	0.155782271366608	2	85	regulation of BMP signaling pathway	GREM2;SOX11	0.177745180648659
76	GO:0045927	0.0106564406544665	7.209229390681	0.460015883682571	3	251	positive regulation of growth	BCL2;DIO3;ISLR2	0.177745180648659
77	GO:0045778	0.0107877028505867	13.8222789115646	0.157615003970921	2	86	positive regulation of ossification	IFITM1;SOX11	0.177745180648659
78	GO:0002326	0.0109477994369703	112.648275862069	0.0109963956258782	1	6	B cell lineage commitment	BCL2	0.177745180648659
79	GO:0045634	0.0109477994369703	112.648275862069	0.0109963956258782	1	6	regulation of melanocyte differentiation	BCL2	0.177745180648659
80	GO:0051454	0.0109477994369703	112.648275862069	0.0109963956258782	1	6	intracellular pH elevation	BCL2	0.177745180648659
81	GO:0060022	0.0109477994369703	112.648275862069	0.0109963956258782	1	6	hard palate development	SOX11	0.177745180648659
