GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0022857	4.41847096020352e-08	4.31951466127401	6.76743215031315	24	1013	transmembrane transporter activity	ANO3;ATP1A1;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;RBP4;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC25A30;SLC35D3;SLC6A17;SLC7A8;SLCO1A2;SV2B;TOMM70;TRPC3	2.1385399447385e-05
2	GO:0015267	3.19718575361772e-07	5.75179703017119	3.01294363256785	15	451	channel activity	ANO3;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;SCN3B;SCN4B;SLC17A7;SLC24A2;TRPC3	4.20291294436288e-05
3	GO:0022803	3.28872953321487e-07	5.73828115784756	3.019624217119	15	452	passive transmembrane transporter activity	ANO3;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;SCN3B;SCN4B;SLC17A7;SLC24A2;TRPC3	4.20291294436288e-05
4	GO:0005215	4.20615013754104e-07	3.78238636363636	7.64258872651357	24	1144	transporter activity	ANO3;ATP1A1;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;RBP4;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC25A30;SLC35D3;SLC6A17;SLC7A8;SLCO1A2;SV2B;TOMM70;TRPC3	4.20291294436288e-05
5	GO:0005216	5.00218111390025e-07	5.95714285714286	2.69895615866388	14	404	ion channel activity	ANO3;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;SCN3B;SCN4B;SLC17A7;SLC24A2;TRPC3	4.20291294436288e-05
6	GO:0015075	5.96156525788695e-07	4.22459322485996	5.57828810020877	20	835	ion transmembrane transporter activity	ANO3;ATP1A1;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC25A30;SLC35D3;SLC7A8;SLCO1A2;TRPC3	4.20291294436288e-05
7	GO:0005244	6.94696354440146e-07	8.77504262574595	1.29603340292276	10	194	voltage-gated ion channel activity	KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;SCN3B;SCN4B	4.20291294436288e-05
8	GO:0022832	6.94696354440146e-07	8.77504262574595	1.29603340292276	10	194	voltage-gated channel activity	KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;NOX1;SCN3B;SCN4B	4.20291294436288e-05
9	GO:0015318	9.05769694149699e-07	4.27231182795699	5.20417536534447	19	779	inorganic molecular entity transmembrane transporter activity	ANO3;ATP1A1;GABRD;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;RBP4;SCN3B;SCN4B;SLC17A7;SLC24A2;SLC25A30;SLC7A8;SLCO1A2;TRPC3	4.62019932202036e-05
10	GO:0015079	9.54586636781066e-07	9.87917276233542	1.03549060542797	9	155	potassium ion transmembrane transporter activity	ATP1A1;KCNA4;KCNH3;KCNH7;KCNIP2;KCNJ2;KCNT2;KCNV1;SLC24A2	4.62019932202036e-05
