Gene	Direction
1	Slc17a7	All
2	Nexn	All
3	Lpl	All
4	Nrn1	All
5	Tac1	All
6	Pcdh18	All
7	Lgi1	All
8	Ano3	All
9	Actn2	All
10	Kcnv1	All
11	Nmb	All
12	Fxyd7	All
13	Pcsk1	All
14	Rab15	All
15	Rgs20	All
16	Rasl11b	All
17	Strn	All
18	Lxn	All
19	Drd1	All
20	Usp2	All
21	Slc35d3	All
22	Tomm70a	All
23	Tmem263	All
24	Prkch	All
25	Lgi2	All
26	Prss12	All
27	Actr3b	All
28	Ptgs2	All
29	Plppr1	All
30	Dio3	All
31	Slamf1	All
32	Ccdc110	All
33	Tmem41a	All
34	Rnf150	All
35	Acvr1c	All
36	Kcna4	All
37	Atrnl1	All
38	Nt5dc3	All
39	Dlk1	All
40	Fgf11	All
41	Sh3rf2	All
42	Sv2b	All
43	Clic3	All
44	C1ql3	All
45	Zfp365	All
46	Id2	All
47	Far2	All
48	Cck	All
49	Nox1	All
50	Arl15	All
51	Slc7a8	All
52	Rxrg	All
53	Gcnt2	All
54	Ppp1r2	All
55	Samd14	All
56	Arhgap6	All
57	Rasd2	All
58	Rbp4	All
59	Ppp1r7	All
60	Dusp7	All
61	Akap5	All
62	Wdr6	All
63	Nnat	All
64	Rab40b	All
65	Ypel4	All
66	Zdhhc22	All
67	Rbp1	All
68	Tas2r108	All
69	Arpp19	All
70	Cdc42se2	All
71	Ifitm2	All
72	Cited4	All
73	Macrod2	All
74	Pdzd2	All
75	Brinp1	All
76	Snx7	All
77	Scn4b	All
78	Atp1a1	All
79	Fam102b	All
80	Nrep	All
81	Dpy19l3	All
82	Bcl2	All
83	Ephx4	All
84	Zdhhc23	All
85	Kcnt2	All
86	Arel1	All
87	Crhbp	All
88	Kcnj2	All
89	Fam43b	All
90	Gpr50	All
91	Prmt8	All
92	Gls	All
93	Ankrd33b	All
94	Rab26	All
95	Fam126b	All
96	Gadd45a	All
97	Tnfsf9	All
98	Ccng1	All
99	Scn3b	All
100	Synpr	All
101	Akt3	All
102	Lrrc39	All
103	Mical2	All
104	Slco1a1	All
105	Elmo1	All
106	Drd5	All
107	Htr1f	All
108	Gdf11	All
109	Sstr4	All
110	Nefh	All
111	Oprk1	All
112	Cdkl5	All
113	Kcnh3	All
114	Gmcl1	All
115	Dpy19l1	All
116	Slc25a30	All
117	Islr2	All
118	Rasgrp1	All
119	Kcnip2	All
120	Gabrd	All
121	Nrcam	All
122	Cd109	All
123	Rgcc	All
124	Arl4d	All
125	Npas2	All
126	Dok5	All
127	Chst15	All
128	Ric8b	All
129	Metrnl	All
130	Slc24a2	All
131	Fitm1	All
132	Csnk1g3	All
133	Rgs18	All
134	Pdha2	All
135	Armcx3	All
136	Egr1	All
137	Slc6a17	All
138	Kcnh7	All
139	Fam131b	All
140	Mrap2	All
141	Sstr5	All
142	Sox11	All
143	Fam81a	All
144	Cobll1	All
145	Lix1	All
146	Grem2	All
147	Filip1	All
148	Erc2	All
149	Anks4b	All
150	Klhl13	All
151	Hsd17b14	All
152	Trpc3	All
153	Actrt2	All
154	Ccnd2	All
155	Il1rn	All
156	Tmem88b	All
157	Bola1	All
158	Slc17a7	Downreg
159	Nexn	Downreg
160	Lpl	Downreg
161	Nrn1	Downreg
162	Tac1	Downreg
163	Lgi1	Downreg
164	Ano3	Downreg
165	Actn2	Downreg
166	Kcnv1	Downreg
167	Pcsk1	Downreg
168	Rab15	Downreg
169	Rgs20	Downreg
170	Rasl11b	Downreg
171	Strn	Downreg
172	Lxn	Downreg
173	Drd1	Downreg
174	Usp2	Downreg
175	Slc35d3	Downreg
176	Tomm70a	Downreg
177	Tmem263	Downreg
178	Prkch	Downreg
179	Lgi2	Downreg
180	Prss12	Downreg
181	Actr3b	Downreg
182	Ptgs2	Downreg
183	Plppr1	Downreg
184	Ccdc110	Downreg
185	Tmem41a	Downreg
186	Rnf150	Downreg
187	Acvr1c	Downreg
188	Kcna4	Downreg
189	Atrnl1	Downreg
190	Nt5dc3	Downreg
191	Sh3rf2	Downreg
192	Sv2b	Downreg
193	C1ql3	Downreg
194	Zfp365	Downreg
195	Id2	Downreg
196	Far2	Downreg
197	Cck	Downreg
198	Nox1	Downreg
199	Arl15	Downreg
200	Slc7a8	Downreg
201	Rxrg	Downreg
202	Gcnt2	Downreg
203	Ppp1r2	Downreg
204	Arhgap6	Downreg
205	Rasd2	Downreg
206	Rbp4	Downreg
207	Ppp1r7	Downreg
208	Dusp7	Downreg
209	Akap5	Downreg
210	Rab40b	Downreg
211	Arpp19	Downreg
212	Cdc42se2	Downreg
213	Cited4	Downreg
214	Macrod2	Downreg
215	Pdzd2	Downreg
216	Brinp1	Downreg
217	Snx7	Downreg
218	Scn4b	Downreg
219	Atp1a1	Downreg
220	Fam102b	Downreg
221	Nrep	Downreg
222	Dpy19l3	Downreg
223	Ephx4	Downreg
224	Zdhhc23	Downreg
225	Kcnt2	Downreg
226	Arel1	Downreg
227	Crhbp	Downreg
228	Kcnj2	Downreg
229	Prmt8	Downreg
230	Gls	Downreg
231	Ankrd33b	Downreg
232	Fam126b	Downreg
233	Gadd45a	Downreg
234	Ccng1	Downreg
235	Scn3b	Downreg
236	Synpr	Downreg
237	Akt3	Downreg
238	Lrrc39	Downreg
239	Mical2	Downreg
240	Slco1a1	Downreg
241	Elmo1	Downreg
242	Drd5	Downreg
243	Htr1f	Downreg
244	Sstr4	Downreg
245	Oprk1	Downreg
246	Cdkl5	Downreg
247	Kcnh3	Downreg
248	Gmcl1	Downreg
249	Dpy19l1	Downreg
250	Slc25a30	Downreg
251	Rasgrp1	Downreg
252	Kcnip2	Downreg
253	Gabrd	Downreg
254	Nrcam	Downreg
255	Rgcc	Downreg
256	Arl4d	Downreg
257	Npas2	Downreg
258	Dok5	Downreg
259	Chst15	Downreg
260	Ric8b	Downreg
261	Slc24a2	Downreg
262	Csnk1g3	Downreg
263	Rgs18	Downreg
264	Armcx3	Downreg
265	Egr1	Downreg
266	Slc6a17	Downreg
267	Kcnh7	Downreg
268	Fam131b	Downreg
269	Fam81a	Downreg
270	Cobll1	Downreg
271	Lix1	Downreg
272	Filip1	Downreg
273	Erc2	Downreg
274	Klhl13	Downreg
275	Trpc3	Downreg
276	Ccnd2	Downreg
277	Tmem88b	Downreg
278	Pcdh18	Upreg
279	Nmb	Upreg
280	Fxyd7	Upreg
281	Dio3	Upreg
282	Slamf1	Upreg
283	Dlk1	Upreg
284	Fgf11	Upreg
285	Clic3	Upreg
286	Samd14	Upreg
287	Wdr6	Upreg
288	Nnat	Upreg
289	Ypel4	Upreg
290	Zdhhc22	Upreg
291	Rbp1	Upreg
292	Tas2r108	Upreg
293	Ifitm2	Upreg
294	Bcl2	Upreg
295	Fam43b	Upreg
296	Gpr50	Upreg
297	Rab26	Upreg
298	Tnfsf9	Upreg
299	Gdf11	Upreg
300	Nefh	Upreg
301	Islr2	Upreg
302	Cd109	Upreg
303	Metrnl	Upreg
304	Fitm1	Upreg
305	Pdha2	Upreg
306	Mrap2	Upreg
307	Sstr5	Upreg
308	Sox11	Upreg
309	Grem2	Upreg
310	Anks4b	Upreg
311	Hsd17b14	Upreg
312	Actrt2	Upreg
313	Il1rn	Upreg
314	Bola1	Upreg
315	Cxcl13	All
316	Slfn4	All
317	C3	All
318	Cd68	All
319	Cd74	All
320	C4b	All
321	Gbp2	All
322	Adgre1	All
323	Plac8	All
324	Cybb	All
325	Itgal	All
326	Itgam	All
327	Serping1	All
328	C1qb	All
329	Ifit1	All
330	Mpeg1	All
331	Ptprc	All
332	Rnf213	All
333	Ifi44l	All
334	Ncf1	All
335	Cxcl9	All
336	Ctsh	All
337	Lcp2	All
338	Stat1	All
339	Cp	All
340	Gbp5	All
341	Parp14	All
342	Lgals3bp	All
343	Sp100	All
344	Siglec1	All
345	Cd53	All
346	Dock8	All
347	Ifit2	All
348	Lcp1	All
349	Slfn5	All
350	Ptpn6	All
351	Plek	All
352	Parp9	All
353	Anxa3	All
354	Ctsc	All
355	Casp4	All
356	C2	All
357	Axl	All
358	Nckap1l	All
359	Csf1r	All
360	Usp18	All
361	Lyn	All
362	Epsti1	All
363	Oas2	All
