HDAC5_D2_3	HDAC5_D2_4	HDAC5_D2_1	HDAC5_D2_2	WT_D2_3	WT_D2_4	WT_D2_1	WT_D2_2
1520401A03Rik	5.69487501042438	5.50445063148752	5.96091615621665	6.15386972410252	5.8173042244152	5.94147755938924	5.76390519143037	6.06248689312219
1700016H13Rik	3.2562170021261	3.38680143835411	3.78526255401155	4.25350673608862	3.89545302365584	3.872100484172	3.72471273704362	3.86584718876885
1700019A02Rik	5.65245769311281	5.68810424027622	5.84167380590986	6.1496678837549	5.83988495985433	5.98986203707971	5.97274815903067	6.12328908074361
1700025B11Rik	4.60341318949638	4.63947479157188	4.61840374730099	4.7322244581228	4.78244024572026	4.8704016045706	4.81211643793761	4.66360626623387
1810024B03Rik	2.51654656999039	2.45424275578314	2.58038641984518	2.60356797487899	2.53913545176548	2.8834332326612	2.64368043747612	2.67527458688471
1810062G17Rik	3.64209833810877	3.54637179088193	3.88650984099179	4.20261283251991	3.99310347056649	4.23179357431551	4.01423626790049	4.08625832028422
2310003L06Rik	2.36057065878452	2.54370257045499	2.98470466122078	2.8082896372812	2.86507298289335	3.11152438103353	2.48211720541403	2.71130536945683
3110082J24Rik	6.1456723324435	5.98746676088005	6.47348755696304	6.78811256775708	6.37674686942683	6.71781074120484	6.38585982870392	6.56223288528857
4930432M17Rik	2.39163152787486	2.39989157417119	2.61106903381329	2.5812299199618	2.62394493968051	2.90788474726637	2.59332055439911	2.70858605568247
4930474N05Rik	2.60372399525898	2.57461398495932	2.57092414828111	2.80637383107138	2.62251076971769	2.6746526274784	2.72516516198271	2.6063927223057
4930513O06Rik	1.62144421051834	1.55692126269079	1.62250972466646	1.91487366308802	1.54075773553976	1.82294685051542	1.82965331344699	1.89954539198802
4930562C15Rik	3.87568783961702	3.81384265696684	4.16292234869096	4.33562505876766	4.02584263882803	4.12099501990057	4.00227163986067	4.32358875157477
4930564D02Rik	4.1479872589868	4.01886222152863	4.43886437545167	4.45763177714112	4.16918158499136	4.24044749026076	4.07768693405731	4.51554359561828
4931422A03Rik	4.01200289845595	3.87340530756246	3.89195972178442	4.10245394527378	3.73555130217204	3.94976403500929	4.10235036100881	4.30975275990616
4933405O20Rik	3.89527794629487	4.12764113224341	4.0793422802772	3.95059338314098	3.7503554964127	4.00140998829231	3.73535859860429	3.71882469026022
6720489N17Rik	8.59775061485769	8.93965705792218	8.37933820051902	8.21313385447244	8.60974740087955	8.42869490771389	8.65576031308024	8.31631170495202
9330182O14Rik	2.9795773017128	2.39915948607833	2.98763991256373	3.19559603276107	2.75517042189982	2.87072022764137	2.77499154846677	3.08767091299811
9430069I07Rik	4.29074526208207	4.47936049530409	4.44973109699667	4.46008143731041	4.61960207941686	4.170914302313	4.47794454864854	4.76232336050918
