GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0098798	2.60814077382518e-50	10.92727893479	13.6913162652359	90	235	mitochondrial protein complex	APOO;ATP5F1D;ATP5F1E;ATP5MC3;ATP5PD;ATP5PF;ATP5MF;ATP5MGL;ATP5MG;ATP5PO;CHCHD10;COX4I1;COX5A;DNAJC15;DNAJC19;MALSU1;MCU;MICU3;MRPL10;MRPL12;MRPL13;MRPL20;MRPL21;MRPL22;MRPL33;MRPL35;MRPL36;MRPL42;MRPL48;MRPL53;MRPL54;MRPS10;MRPS11;MRPS15;MRPS16;MRPS18A;MRPS18C;MRPS21;MRPS33;MRPS36;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;PAM16;PDK2;ROMO1;SDHAF4;SDHD;SMDT1;TIMM17A;TIMM23B;TIMM23;TIMM8B;TOMM20;TOMM40L;TOMM6;TOMM7;UQCRB;UQCRH;UQCRHL;UQCRQ;VDAC1	2.37340810418091e-47
2	GO:0098800	1.21788699383929e-44	20.1678882415586	6.46696215081355	60	111	inner mitochondrial membrane protein complex	APOO;ATP5F1D;ATP5F1E;ATP5MC3;ATP5PD;ATP5PF;ATP5MF;ATP5MGL;ATP5MG;ATP5PO;CHCHD10;COX4I1;COX5A;DNAJC15;DNAJC19;MCU;MICU3;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;PAM16;ROMO1;SDHAF4;SDHD;SMDT1;TIMM17A;TIMM23B;TIMM23;UQCRB;UQCRH;UQCRHL;UQCRQ	5.54138582196878e-42
3	GO:0005740	1.49781548451699e-41	4.65012516688919	40.9574269551525	143	703	mitochondrial envelope	APOO;ARL2;ARMCX3;ASS1;ATCAY;ATF2;ATP5F1D;ATP5F1E;ATP5MC3;ATP5PD;ATP5PF;ATP5MF;ATP5MGL;ATP5MG;ATP5PO;BECN1;BNIP3;CALM3;CHCHD1;CHCHD10;CHCHD2;CISD1;CISD2;COA3;COQ7;COX14;COX17;COX4I1;COX5A;COX5B;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX8A;CYCS;DNAJC15;DNAJC19;DNAJC30;DNM1;ENDOG;HIGD1A;HIGD2A;LRRK2;MCU;MFF;MICU3;MOAP1;MPC1;MPC2;MRPL10;MRPL12;MRPL13;MRPL20;MRPL21;MRPL22;MRPL33;MRPL35;MRPL36;MRPL42;MRPL48;MRPL53;MRPL54;MRPS10;MRPS11;MRPS15;MRPS16;MRPS18A;MRPS18C;MRPS21;MRPS33;MRPS36;MTCH1;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFAF3;NDUFAF5;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;NME1;NRGN;PAM16;PARK7;PGR;PPP2R2B;PTPMT1;RNF5;ROMO1;SDHAF3;SDHAF4;SDHD;SLC25A4;SLC8A3;SMDT1;SMIM20;SNN;THEM4;TIMM17A;TIMM23B;TIMM23;TIMM8B;TMEM14A;TOMM20;TOMM40L;TOMM6;TOMM7;TRIAP1;UQCR11;UQCRB;UQCRH;UQCRHL;UQCRQ;VAMP1;VDAC1;WASF1	4.5433736363682e-39
4	GO:0031966	8.30004409454547e-41	4.7482288066793	38.4522073832157	137	660	mitochondrial membrane	APOO;ARMCX3;ASS1;ATCAY;ATF2;ATP5F1D;ATP5F1E;ATP5MC3;ATP5PD;ATP5PF;ATP5MF;ATP5MGL;ATP5MG;ATP5PO;BECN1;BNIP3;CALM3;CHCHD1;CHCHD10;CISD1;CISD2;COA3;COQ7;COX14;COX4I1;COX5A;COX5B;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX8A;CYCS;DNAJC15;DNAJC19;DNAJC30;DNM1;ENDOG;HIGD1A;HIGD2A;LRRK2;MCU;MFF;MICU3;MOAP1;MPC1;MPC2;MRPL10;MRPL12;MRPL13;MRPL20;MRPL21;MRPL22;MRPL33;MRPL35;MRPL36;MRPL42;MRPL48;MRPL53;MRPL54;MRPS10;MRPS11;MRPS15;MRPS16;MRPS18A;MRPS18C;MRPS21;MRPS33;MRPS36;MTCH1;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFAF3;NDUFAF5;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;NME1;NRGN;PAM16;PGR;PPP2R2B;PTPMT1;RNF5;ROMO1;SDHAF4;SDHD;SLC25A4;SLC8A3;SMDT1;SMIM20;SNN;THEM4;TIMM17A;TIMM23B;TIMM23;TIMM8B;TMEM14A;TOMM20;TOMM40L;TOMM6;TOMM7;UQCR11;UQCRB;UQCRH;UQCRHL;UQCRQ;VAMP1;VDAC1;WASF1	1.8882600315091e-38
5	GO:0005743	2.67179246514522e-40	5.92546816479401	25.4017612410334	109	436	mitochondrial inner membrane	APOO;ATP5F1D;ATP5F1E;ATP5MC3;ATP5PD;ATP5PF;ATP5MF;ATP5MGL;ATP5MG;ATP5PO;CHCHD1;CHCHD10;COA3;COQ7;COX4I1;COX5A;COX5B;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX8A;CYCS;DNAJC15;DNAJC19;DNAJC30;ENDOG;HIGD1A;HIGD2A;LRRK2;MCU;MICU3;MPC1;MPC2;MRPL10;MRPL12;MRPL13;MRPL20;MRPL21;MRPL22;MRPL33;MRPL35;MRPL36;MRPL42;MRPL48;MRPL53;MRPL54;MRPS10;MRPS11;MRPS15;MRPS16;MRPS18A;MRPS18C;MRPS21;MRPS33;MRPS36;MTCH1;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFAF3;NDUFAF5;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;PAM16;PTPMT1;ROMO1;SDHAF4;SDHD;SLC25A4;SMDT1;SMIM20;THEM4;TIMM17A;TIMM23B;TIMM23;TIMM8B;UQCR11;UQCRB;UQCRH;UQCRHL;UQCRQ	4.8626622865643e-38
6	GO:0070469	8.02210617685732e-38	23.2364127985579	4.83565638304077	48	83	respirasome	COX4I1;COX5A;COX6B1;COX7A2;COX7A2L;COX7B;COX8A;CYCS;HIGD1A;HIGD2A;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;SDHAF4;SDHD;UQCR11;UQCRB;UQCRH;UQCRHL;UQCRQ	1.21668610349003e-35
7	GO:0019866	1.00425872064123e-35	5.09314599382649	28.7226336968566	110	493	organelle inner membrane	APOO;ATP5F1D;ATP5F1E;ATP5MC3;ATP5PD;ATP5PF;ATP5MF;ATP5MGL;ATP5MG;ATP5PO;CHCHD1;CHCHD10;COA3;COQ7;COX4I1;COX5A;COX5B;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX8A;CYCS;DNAJC15;DNAJC19;DNAJC30;ENDOG;HIGD1A;HIGD2A;LRRK2;MCU;MICU3;MPC1;MPC2;MRPL10;MRPL12;MRPL13;MRPL20;MRPL21;MRPL22;MRPL33;MRPL35;MRPL36;MRPL42;MRPL48;MRPL53;MRPL54;MRPS10;MRPS11;MRPS15;MRPS16;MRPS18A;MRPS18C;MRPS21;MRPS33;MRPS36;MTCH1;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFAF3;NDUFAF5;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;PAM16;PTPMT1;ROMO1;SDHAF4;SDHD;SLC25A4;SMDT1;SMIM20;MATR3;THEM4;TIMM17A;TIMM23B;TIMM23;TIMM8B;UQCR11;UQCRB;UQCRH;UQCRHL;UQCRQ	1.3055363368336e-33
8	GO:0098803	8.2317040302811e-34	24.3936871689547	4.13652533970957	42	71	respiratory chain complex	COX4I1;COX5A;COX6B1;COX7B;COX8A;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;SDHAF4;SDHD;UQCRB;UQCRH;UQCRHL;UQCRQ	9.36356333444475e-32
9	GO:0005746	1.95250163100018e-32	21.4315569487983	4.36956902081997	42	75	mitochondrial respirasome	COX4I1;COX5A;COX7A2;COX7A2L;COX7B;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;SDHAF4;SDHD;UQCRB;UQCRH;UQCRHL;UQCRQ	1.97419609356685e-30
10	GO:0005739	2.92347199515945e-28	2.76783358381039	87.158336735289	195	1496	mitochondrion	ABHD10;ACOT13;ACOT9;ANKRD37;APOO;ARL2;ARMCX3;ASS1;ATCAY;ATF2;ATP5F1D;ATP5F1E;ATP5MC3;ATP5PD;ATP5PF;ATP5MF;ATP5MGL;ATP5MG;ATP5PO;ATPAF1;ATP5IF1;AUH;AZIN2;BECN1;BLOC1S2;BNIP3;BOLA1;BOLA3;CALM3;CEND1;CHCHD1;CHCHD10;CHCHD2;CISD1;CISD2;CLPP;COA3;COQ7;COX14;COX17;COX4I1;COX5A;COX5B;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX8A;CRY1;CYCS;DNAJC15;DNAJC19;DNAJC30;DNAJC5;DNM1;DUT;ENDOG;FAHD1;FAM162A;FBXW7;FMC1;FXN;GABARAPL1;GLRX5;GSK3A;GSR;HAGH;HIGD1A;HIGD2A;HIGD2B;HSDL1;ISCA2;KLC2;LRRK2;MALSU1;MAPK9;MCU;MFF;MICU3;MOAP1;MPC1;MPC2;MRPL10;MRPL12;MRPL13;MRPL20;MRPL21;MRPL22;MRPL33;MRPL35;MRPL36;MRPL42;MRPL48;MRPL53;MRPL54;MRPS10;MRPS11;MRPS15;MRPS16;MRPS18A;MRPS18C;MRPS21;MRPS33;MRPS36;MSRA;MTCH1;NDRG4;NDUFA1;NDUFA11;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA4L2;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFAF3;NDUFAF5;NDUFB1;NDUFB10;NDUFB11;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;NENF;NGB;NME1;NOCT;NRGN;OPA3;PAM16;PARK7;PDK2;PFDN2;PGR;PIN1;PIN4;PPP2R2B;PPP3R1;PRDX5;PRKACA;PTPMT1;PTS;RGS2;RNF5;ROMO1;SDHAF3;SDHAF4;SDHD;SLC25A4;SLC8A3;SLIRP;SMDT1;SMIM20;SNCA;SNN;TDRKH;THEM4;TIMM17A;TIMM23B;TIMM23;TIMM8B;TMEM14A;TOMM20;TOMM40L;TOMM6;TOMM7;TRIAP1;TUSC2;TXN2;UQCR11;UQCRB;UQCRH;UQCRHL;UQCRQ;VAMP1;VDAC1;WASF1	2.37961016197013e-26
