GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0031982	1.54868897874517e-43	2.7972862254025	187.151166861144	363	3717	vesicle	A2M;ABCA1;ABCB1;ABCB1;ABCB4;ABCC1;ACAP2;ACSBG1;ADGRE5;ADGRF5;AEBP1;AGA;AHNAK;ANKFY1;ANXA1;ANXA2;ANXA3;AOAH;AP1G2;AP3B1;APOE;AQP4;ARAP1;ARHGAP30;ARHGDIB;ARPC1B;ARRDC4;ATM;ATP1A2;ATP6V0A2;ATP7A;AXL;B2M;B4GALT1;BIN2;BST2;BTK;C2;C3;C3AR1;C4A;C4B;C5AR1;C7;CALCRL;CALR;CARD11;CCDC93;CCR5;CD14;CD22;CD2AP;CD33;CD37;CD38;CD3G;CD4;CD44;CD48;CD53;CD74;CD79A;CD82;CD86;CD9;CDK5RAP2;CLEC12A;CLEC4C;CLIC1;CLU;CMTM3;CMTM6;CNDP2;CNN2;CNP;CORO1A;CORO1B;CP;CPNE3;CSPG4;CTNNA1;CTNS;CTSA;CTSB;CTSC;CTSD;CTSE;CTSH;CTSS;CTSZ;CXCR4;CYBA;CYBB;CYFIP1;DAB2;DBNL;DENND3;DENND4C;DNAJC13;DNASE1L1;DNM2;DOCK10;DOCK2;DPP7;DST;DTX3L;EFEMP1;EGFR;EHD4;ENPP3;ENPP6;ENTPD1;ENTPD2;EPB41L2;ERAP1;FAS;FBLN1;FCER1G;FCGR2A;FCN1;FERMT3;FGD2;FGL2;FGR;FLNA;FN1;FTL;FUCA1;FYCO1;GALNS;GBP2;GBP6;GBP5;GLB1;GLIPR1;GM2A;GMFG;GNA13;GNAI3;GNS;GPNMB;GPR18;GRN;GSN;HAVCR2;HCK;HEATR5A;HEXA;HEXB;HPSE;HSPA5;HYAL1;ICAM1;IDUA;IRGM;IL15RA;IL1B;IL2RB;IL2RG;IL7R;INPP5B;IQGAP1;IRAK4;IRF7;ISLR;ITGA4;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;ITIH3;ITPR2;JAK3;KDR;LAP3;LAT2;LCP1;LGALS3;LGALS3BP;LGMN;LITAF;IRAG2;LRP1;LY75;LY96;LYN;LYZ;MAGT1;MAN2A1;MAN2B2;MANBA;MAPKAPK2;MARCKS;MEFV;MGST1;MLC1;MOB1A;MOSPD2;MOXD1;MPEG1;MSN;MVP;MYD88;MYH9;MYO1E;MYO1F;MYO1G;MYO6;NAMPT;NAPRT;NCF1;NCF2;NCF4;NCOA3;NFAM1;NFKB1;NIPBL;NOSTRIN;NOTCH1;NPC1;NPC2;NRP1;NT5E;OCLN;OLR1;OSTF1;P4HB;PADI2;PCSK2;PDGFC;PDIA4;PDPN;PECAM1;PEPD;LILRB3;LILRB4;PLAC8;PLCG2;PLD1;PLD4;PLEKHO2;PLOD1;PLSCR1;PLXNB2;PML;PNP;PRCP;PROS1;PSAP;PSAT1;PSMB8;PSMB9;PSME1;PSME2;PTPN6;PTPRC;PYCARD;PYGL;RAB13;RAC2;RAP1B;RARRES1;RASAL3;RENBP;RHOH;RIN3;RIPK1;RIPK2;RNASE6;ROCK1;RPLP0;RREB1;RSU1;RYR3;SAMD9L;SCAMP2;SCIMP;SCIN;SCPEP1;SDC4;SEC23B;SEC24D;SECTM1;SERPINB1;SERPINB9;SERPING1;SIGLEC1;SIPA1;SLA;SLAMF6;SLC11A1;SLC12A9;SLC15A4;SLC1A3;SLC1A4;SLC28A2;SLC29A3;SLC2A5;SLC44A1;SLC44A2;SLC4A7;SLC9A9;SLPI;SMPDL3A;SNAP23;SOGA1;SPARC;SPINT1;SPP1;SRGAP2;ST3GAL6;STK10;STOM;STXBP2;SYK;SYNE2;SYNGR2;TAP1;TAP2;TAPBP;TBC1D4;TCIRG1;TCN2;TGFB1;TGFBR1;TIMP1;TLN1;TLR1;TLR2;TLR3;TLR4;TLR6;TLR7;TLR8;TLR9;TMBIM1;TMEM63A;TNFAIP3;TNFRSF1B;TNFSF10;TNPO1;TPP1;TRIM21;TRPM2;TSPAN14;TSPO;TYK2;TYROBP;UBR4;UNC93B1;VCAM1;VIM;VPS13A;VPS13C;VPS54;VTN;VWF;WAS;WASF2;WDFY4;WDR81;WIPF1;ZMPSTE24	1.27611971848602e-40
2	GO:0031410	9.17659327818603e-43	3.11156454942722	117.668086347725	269	2337	cytoplasmic vesicle	A2M;ABCA1;ABCB4;ACAP2;ACSBG1;ADGRE5;ADGRF5;AGA;ANKFY1;ANXA1;ANXA2;ANXA3;AOAH;AP1G2;AP3B1;APOE;AQP4;ARAP1;ARHGAP30;ARHGDIB;ARRDC4;ATM;ATP1A2;ATP6V0A2;ATP7A;B2M;B4GALT1;BIN2;BST2;BTK;C3;C3AR1;C5AR1;CALCRL;CALR;CCDC93;CCR5;CD14;CD22;CD2AP;CD33;CD38;CD3G;CD4;CD44;CD53;CD74;CD79A;CD9;CLEC12A;CLEC4C;CLU;CMTM3;CMTM6;CNN2;CNP;CORO1A;CPNE3;CTNNA1;CTNS;CTSA;CTSB;CTSC;CTSD;CTSE;CTSH;CTSS;CTSZ;CXCR4;CYBA;CYBB;CYFIP1;DAB2;DBNL;DENND3;DENND4C;DNAJC13;DNASE1L1;DNM2;DOCK2;DPP7;DST;DTX3L;EGFR;EHD4;FCER1G;FCGR2A;FCN1;FERMT3;FGD2;FGL2;FGR;FN1;FTL;FUCA1;FYCO1;GALNS;GBP2;GBP6;GBP5;GLB1;GLIPR1;GM2A;GMFG;GNA13;GNAI3;GNS;GPNMB;GPR18;GRN;GSN;HAVCR2;HCK;HEATR5A;HEXA;HEXB;HPSE;HSPA5;HYAL1;IDUA;IRGM;IL15RA;IL1B;IL2RB;IL2RG;IL7R;INPP5B;IQGAP1;IRAK4;IRF7;ISLR;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;ITIH3;ITPR2;JAK3;KDR;LGALS3;LGALS3BP;LGMN;LITAF;IRAG2;LRP1;LY96;LYZ;MAGT1;MANBA;MEFV;MGST1;MLC1;MOSPD2;MOXD1;MPEG1;MVP;MYD88;MYO1E;MYO6;NAPRT;NCF1;NCF2;NCF4;NFAM1;NFKB1;NOSTRIN;NOTCH1;NPC1;NPC2;NRP1;OCLN;OLR1;OSTF1;P4HB;PADI2;PCSK2;PDIA4;PDPN;PECAM1;LILRB3;PLAC8;PLD1;PLD4;PLEKHO2;PML;PNP;PRCP;PROS1;PSAP;PTPN6;PTPRC;PYCARD;PYGL;RAB13;RAC2;RAP1B;RHOH;RIN3;RIPK1;RNASE6;ROCK1;RYR3;SAMD9L;SCAMP2;SCIMP;SEC23B;SEC24D;SERPINB1;SERPING1;SIGLEC1;SIPA1;SLA;SLC11A1;SLC15A4;SLC1A3;SLC1A4;SLC28A2;SLC29A3;SLC2A5;SLC44A2;SLC4A7;SLC9A9;SLPI;SNAP23;SPARC;SRGAP2;STK10;STOM;STXBP2;SYK;SYNGR2;TAP1;TAP2;TAPBP;TCIRG1;TCN2;TGFB1;TGFBR1;TIMP1;TLR1;TLR2;TLR3;TLR4;TLR6;TLR7;TLR8;TLR9;TMBIM1;TMEM63A;TNFRSF1B;TPP1;TRIM21;TRPM2;TSPAN14;TYROBP;UBR4;UNC93B1;VCAM1;VIM;VPS13A;VPS13C;VPS54;VWF;WAS;WASF2;WDFY4;WDR81;WIPF1	3.49121407729865e-40
3	GO:0097708	1.27107308639514e-42	3.10468341718342	117.869486581097	269	2341	intracellular vesicle	A2M;ABCA1;ABCB4;ACAP2;ACSBG1;ADGRE5;ADGRF5;AGA;ANKFY1;ANXA1;ANXA2;ANXA3;AOAH;AP1G2;AP3B1;APOE;AQP4;ARAP1;ARHGAP30;ARHGDIB;ARRDC4;ATM;ATP1A2;ATP6V0A2;ATP7A;B2M;B4GALT1;BIN2;BST2;BTK;C3;C3AR1;C5AR1;CALCRL;CALR;CCDC93;CCR5;CD14;CD22;CD2AP;CD33;CD38;CD3G;CD4;CD44;CD53;CD74;CD79A;CD9;CLEC12A;CLEC4C;CLU;CMTM3;CMTM6;CNN2;CNP;CORO1A;CPNE3;CTNNA1;CTNS;CTSA;CTSB;CTSC;CTSD;CTSE;CTSH;CTSS;CTSZ;CXCR4;CYBA;CYBB;CYFIP1;DAB2;DBNL;DENND3;DENND4C;DNAJC13;DNASE1L1;DNM2;DOCK2;DPP7;DST;DTX3L;EGFR;EHD4;FCER1G;FCGR2A;FCN1;FERMT3;FGD2;FGL2;FGR;FN1;FTL;FUCA1;FYCO1;GALNS;GBP2;GBP6;GBP5;GLB1;GLIPR1;GM2A;GMFG;GNA13;GNAI3;GNS;GPNMB;GPR18;GRN;GSN;HAVCR2;HCK;HEATR5A;HEXA;HEXB;HPSE;HSPA5;HYAL1;IDUA;IRGM;IL15RA;IL1B;IL2RB;IL2RG;IL7R;INPP5B;IQGAP1;IRAK4;IRF7;ISLR;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;ITIH3;ITPR2;JAK3;KDR;LGALS3;LGALS3BP;LGMN;LITAF;IRAG2;LRP1;LY96;LYZ;MAGT1;MANBA;MEFV;MGST1;MLC1;MOSPD2;MOXD1;MPEG1;MVP;MYD88;MYO1E;MYO6;NAPRT;NCF1;NCF2;NCF4;NFAM1;NFKB1;NOSTRIN;NOTCH1;NPC1;NPC2;NRP1;OCLN;OLR1;OSTF1;P4HB;PADI2;PCSK2;PDIA4;PDPN;PECAM1;LILRB3;PLAC8;PLD1;PLD4;PLEKHO2;PML;PNP;PRCP;PROS1;PSAP;PTPN6;PTPRC;PYCARD;PYGL;RAB13;RAC2;RAP1B;RHOH;RIN3;RIPK1;RNASE6;ROCK1;RYR3;SAMD9L;SCAMP2;SCIMP;SEC23B;SEC24D;SERPINB1;SERPING1;SIGLEC1;SIPA1;SLA;SLC11A1;SLC15A4;SLC1A3;SLC1A4;SLC28A2;SLC29A3;SLC2A5;SLC44A2;SLC4A7;SLC9A9;SLPI;SNAP23;SPARC;SRGAP2;STK10;STOM;STXBP2;SYK;SYNGR2;TAP1;TAP2;TAPBP;TCIRG1;TCN2;TGFB1;TGFBR1;TIMP1;TLR1;TLR2;TLR3;TLR4;TLR6;TLR7;TLR8;TLR9;TMBIM1;TMEM63A;TNFRSF1B;TPP1;TRIM21;TRPM2;TSPAN14;TYROBP;UBR4;UNC93B1;VCAM1;VIM;VPS13A;VPS13C;VPS54;VWF;WAS;WASF2;WDFY4;WDR81;WIPF1	3.49121407729865e-40
4	GO:0030141	6.08528653759537e-36	4.18050542930926	42.294049008168	137	840	secretory granule	A2M;ADGRE5;AGA;ANXA2;ANXA3;ATP6V0A2;ATP7A;B2M;B4GALT1;BIN2;BST2;C3;C3AR1;C5AR1;CALR;CD14;CD33;CD38;CD44;CD53;CD9;CLEC12A;CLEC4C;CLU;CMTM6;CNN2;CPNE3;CTNNA1;CTSA;CTSB;CTSC;CTSD;CTSH;CTSS;CTSZ;CYBA;CYBB;CYFIP1;DBNL;DENND4C;DNAJC13;DNASE1L1;DOCK2;DPP7;FCER1G;FCGR2A;FCN1;FERMT3;FGL2;FGR;FN1;FTL;FUCA1;GALNS;GLB1;GLIPR1;GM2A;GMFG;GNAI3;GNS;GRN;GSN;HEXA;HEXB;HPSE;IL1B;IQGAP1;ISLR;ITGAL;ITGAM;ITGAX;ITGB2;ITIH3;ITPR2;LGALS3;LGALS3BP;IRAG2;LRP1;LYZ;MAGT1;MANBA;MGST1;MOSPD2;MOXD1;MVP;NAPRT;NCF2;NFAM1;NFKB1;NOTCH1;NPC2;OLR1;OSTF1;PADI2;PCSK2;PECAM1;LILRB3;PLAC8;PLD1;PLEKHO2;PNP;PRCP;PROS1;PSAP;PTPN6;PTPRC;PYCARD;PYGL;RAB13;RAP1B;ROCK1;SERPINB1;SERPING1;SLC11A1;SLC15A4;SLC2A5;SLC44A2;SLPI;SNAP23;SPARC;STK10;STOM;STXBP2;TCIRG1;TGFB1;TIMP1;TLR2;TMBIM1;TMEM63A;TNFRSF1B;TRPM2;TSPAN14;TYROBP;UBR4;VPS13A;VPS13C;VWF	1.25356902674465e-33
5	GO:0000323	1.47404929106585e-31	4.27542473143722	34.2380396732789	115	680	lytic vacuole	ABCD1;AGA;AHNAK;ANKFY1;ANXA1;ANXA2;AP3B1;ATP6V0A2;B4GALT1;BST2;BTK;C3;C3AR1;CALCRL;CD34;CD74;CMTM6;CP;CPNE3;CSPG4;CTBS;CTNS;CTSA;CTSB;CTSC;CTSD;CTSH;CTSS;CTSZ;CXCR4;DAB2;DCN;DNAJC13;DPP7;DTX3L;FTL;FUCA1;FYCO1;GALC;GALNS;GFAP;GLB1;GLIPR1;GM2A;GNAI3;GNS;GPR137B;GRN;HCK;HEXA;HEXB;HPSE;HYAL1;IDUA;IFI30;IL1B;LAPTM5;LAT2;LGMN;LITAF;IRAG2;LRP1;LYN;LYZ;MAGT1;MAN2B2;MANBA;MGST1;MLC1;MYO6;NAPRT;NCF1;NCF2;NCF4;NFAM1;NPC1;NPC2;OCLN;PADI2;PIK3CD;PIK3CG;PLAC8;PLBD1;PLD1;PRCP;PSAP;PYCARD;RAP1B;RNASE6;SDC4;SEH1L;SLC11A1;SLC15A3;SLC15A4;SLC29A3;SLC44A2;SNAP23;STOM;STXBP2;TCIRG1;TCN2;TLR3;TLR7;TLR8;TLR9;TMBIM1;TMEM63A;TNFAIP3;TPP1;TRPM2;UNC93B1;VCAN;VPS13A;WDR81;ZFYVE26	2.0243610263971e-29
6	GO:0005764	1.47404929106585e-31	4.27542473143722	34.2380396732789	115	680	lysosome	ABCD1;AGA;AHNAK;ANKFY1;ANXA1;ANXA2;AP3B1;ATP6V0A2;B4GALT1;BST2;BTK;C3;C3AR1;CALCRL;CD34;CD74;CMTM6;CP;CPNE3;CSPG4;CTBS;CTNS;CTSA;CTSB;CTSC;CTSD;CTSH;CTSS;CTSZ;CXCR4;DAB2;DCN;DNAJC13;DPP7;DTX3L;FTL;FUCA1;FYCO1;GALC;GALNS;GFAP;GLB1;GLIPR1;GM2A;GNAI3;GNS;GPR137B;GRN;HCK;HEXA;HEXB;HPSE;HYAL1;IDUA;IFI30;IL1B;LAPTM5;LAT2;LGMN;LITAF;IRAG2;LRP1;LYN;LYZ;MAGT1;MAN2B2;MANBA;MGST1;MLC1;MYO6;NAPRT;NCF1;NCF2;NCF4;NFAM1;NPC1;NPC2;OCLN;PADI2;PIK3CD;PIK3CG;PLAC8;PLBD1;PLD1;PRCP;PSAP;PYCARD;RAP1B;RNASE6;SDC4;SEH1L;SLC11A1;SLC15A3;SLC15A4;SLC29A3;SLC44A2;SNAP23;STOM;STXBP2;TCIRG1;TCN2;TLR3;TLR7;TLR8;TLR9;TMBIM1;TMEM63A;TNFAIP3;TPP1;TRPM2;UNC93B1;VCAN;VPS13A;WDR81;ZFYVE26	2.0243610263971e-29
7	GO:0099503	1.42831623639068e-28	3.42066071859175	50.1486581096849	138	996	secretory vesicle	A2M;ADGRE5;AGA;ANXA2;ANXA3;ATP6V0A2;ATP7A;B2M;B4GALT1;BIN2;BST2;C3;C3AR1;C5AR1;CALR;CD14;CD33;CD38;CD44;CD53;CD9;CLEC12A;CLEC4C;CLU;CMTM6;CNN2;CPNE3;CTNNA1;CTSA;CTSB;CTSC;CTSD;CTSH;CTSS;CTSZ;CYBA;CYBB;CYFIP1;DBNL;DENND4C;DNAJC13;DNASE1L1;DOCK2;DPP7;FCER1G;FCGR2A;FCN1;FERMT3;FGL2;FGR;FN1;FTL;FUCA1;GALNS;GLB1;GLIPR1;GM2A;GMFG;GNAI3;GNS;GRN;GSN;HEXA;HEXB;HPSE;IL1B;IQGAP1;ISLR;ITGAL;ITGAM;ITGAX;ITGB2;ITIH3;ITPR2;LGALS3;LGALS3BP;IRAG2;LRP1;LYZ;MAGT1;MANBA;MGST1;MOSPD2;MOXD1;MVP;NAPRT;NCF2;NFAM1;NFKB1;NOTCH1;NPC2;OLR1;OSTF1;PADI2;PCSK2;PECAM1;LILRB3;PLAC8;PLD1;PLEKHO2;PNP;PRCP;PROS1;PSAP;PTPN6;PTPRC;PYCARD;PYGL;RAB13;RAP1B;ROCK1;SERPINB1;SERPING1;SLC11A1;SLC15A4;SLC2A5;SLC44A2;SLPI;SNAP23;SPARC;STK10;STOM;STXBP2;SYNGR2;TCIRG1;TGFB1;TIMP1;TLR2;TMBIM1;TMEM63A;TNFRSF1B;TRPM2;TSPAN14;TYROBP;UBR4;VPS13A;VPS13C;VWF	1.68133225540846e-26
8	GO:0005773	2.50724419732265e-28	3.79575493062132	38.769544924154	118	770	vacuole	ABCD1;AGA;AHNAK;ANKFY1;ANXA1;ANXA2;AP3B1;ATP6V0A2;B4GALT1;BST2;BTK;C3;C3AR1;CALCRL;CD34;CD74;CMTM6;CP;CPNE3;CSPG4;CTBS;CTNS;CTSA;CTSB;CTSC;CTSD;CTSH;CTSS;CTSZ;CXCR4;DAB2;DCN;DNAJC13;DPP7;DTX3L;FTL;FUCA1;FYCO1;GALC;GALNS;GFAP;GLB1;GLIPR1;GM2A;GNAI3;GNS;GPR137B;GRN;HCK;HEXA;HEXB;HPSE;HYAL1;IDUA;IFI30;IRGM;IL1B;LAPTM5;LAT2;LGMN;LITAF;IRAG2;LRP1;LYN;LYZ;MAGT1;MAN2B2;MANBA;MEFV;MGST1;MLC1;MYO6;NAPRT;NCF1;NCF2;NCF4;NFAM1;NPC1;NPC2;OCLN;PADI2;PIK3CD;PIK3CG;PLAC8;PLBD1;PLD1;PRCP;PSAP;PYCARD;RAP1B;RNASE6;SDC4;SEH1L;SLC11A1;SLC15A3;SLC15A4;SLC29A3;SLC44A2;SNAP23;STOM;STXBP2;TCIRG1;TCN2;TLR3;TLR7;TLR8;TLR9;TMBIM1;TMEM63A;TNFAIP3;TPP1;TRIM21;TRPM2;UNC93B1;VCAN;VPS13A;WDR81;ZFYVE26	2.58246152324233e-26
9	GO:0005886	5.26770231789795e-28	2.1838211224235	261.618903150525	411	5196	plasma membrane	ABCA1;ABCB1;ABCB1;ABCB4;ABCC1;ACSBG1;ACTL6A;ADAM17;ADAP2;ADCY4;ADCY7;ADGRE1;ADGRE5;ADGRF5;ADGRG5;ADGRG6;AHNAK;AIF1;ANXA1;ANXA2;ANXA3;APBB1IP;APOE;AQP4;ARAP1;ARHGAP17;ARHGAP25;ARL11;ARRDC4;ATP1A2;ATP6V0A2;ATP7A;AXL;B2M;B4GALT1;BIN2;BLNK;BST2;BTK;C3;C3AR1;C4A;C4B;C5AR1;C5AR2;C7;CALCRL;CALR;CAPN3;CAPNS2;CA11;CARD11;CASP1;CASP8;CCR2;CCR5;CD14;CD180;CD2;CD200R1L;CD200R1;CD22;CD2AP;CD302;CD33;SIGLEC6;CD34;CD37;CD38;CD3G;CD4;CD44;CD48;CD53;CD6;CD69;CD74;CD79A;CD80;CD82;CD84;CD86;CD9;CDH5;CDH6;CLEC12A;CLEC2D;CLEC4A;CLEC4C;CLIC1;CMKLR1;CMTM6;CNP;CORO1A;CORO1B;CP;CPNE3;CSF1;CSF1R;CSF2RA;CSF2RB;CSF3R;CSPG4;CTNNA1;CTNNAL1;CTNS;CTSB;CTSZ;CX3CR1;CXCL10;CXCL16;CXCL9;CXCR3;CXCR4;CYBA;CYBB;CYTH4;DAB2;DAPP1;DBNL;DDX58;DENND4C;DNAJC13;DNM2;DOCK8;DST;EDNRB;EGFR;EHD4;ENG;ENPP3;ENPP6;ENTPD1;ENTPD2;EPB41L2;ERAP1;EVI2B;F10;FAS;FCER1G;FCGR2C;FCGR2B;FCGR2A;FCN1;FGD2;FGR;FLNA;FLRT3;FMNL3;FN1;FYB1;GAPT;GLDC;GLIPR1;GM2A;GMIP;GNA13;GNA15;GNAI3;GOLM1;GPAM;GPNMB;GPR137B;GPR17;GPR18;GPR37L1;GPR65;GRN;GSN;HAVCR2;HCK;HCLS1;HK2;HMOX1;HNRNPF;HSPA5;ICAM1;ICOS;IFITM1;IFITM1;IFITM1;IFNGR1;IGSF6;IRGM;IL10RA;IL10RB;IL13RA1;IL15RA;IL17RA;IL18R1;IL21R;IL2RB;IL2RG;IL7R;INPP5B;INPP5D;IQGAP1;IRAK3;IRAK4;ITGA4;ITGA6;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;ITPR2;JAK3;KDR;KLRK1;KPNA2;LAG3;LAPTM5;LAT2;LCP1;LCP2;LGALS3;LIMA1;LITAF;LPCAT2;LPXN;IRAG2;LRP1;LRP4;LY6E;LY75;LY96;LYN;MACF1;MAG;MAGT1;MANBA;MARCKS;MERTK;MGST1;MLC1;MLKL;MMP2;MOSPD2;MSN;MYD88;MYH9;MYLIP;MYO1E;MYO1F;MYO1G;MYO6;NAMPT;NCF1;NCF2;NCF4;NFAM1;NFE2L2;NIN;NOD1;NOSTRIN;NOTCH1;NOTCH2;NPC1;NRP1;NT5E;OAS3;OCLN;OLR1;OSMR;P2RX7;P2RY12;P2RY13;P2RY14;P2RY6;P4HB;PAG1;PAK2;PARP14;PARVG;PCDH18;PDGFC;PDGFRA;PDPN;PDS5A;PECAM1;PIEZO1;PIK3AP1;PIK3CD;PIK3CG;PIK3R5;PIK3R6;PIM1;LILRB3;LILRB4;PLCG2;PLD1;PLEK;PLEKHN1;PLIN2;PLIN4;PLSCR1;PLXNB2;PLXNB3;PNISR;PRCP;PRKCQ;PRKD2;PROS1;PSAP;PSD4;PSTPIP2;PTPN22;PTPN6;PTPRC;PTPRCAP;PTPRZ1;RAB13;RAC2;RALGAPA2;RAP1B;RASA4;RASA4B;RASGRP3;RASSF2;RGS1;RHOH;RIPK1;RIPK3;ROCK1;RYR3;S1PR3;SAMHD1;SCIMP;SCIN;SDC4;SECTM1;SELPLG;SEMA3D;SEMA4D;SEMA6A;SHC1;SIGLEC1;SKAP2;SLA;SLAMF6;SLAMF7;SLC10A6;SLC11A1;SLC12A9;SLC14A1;SLC15A4;SLC1A3;SLC1A4;SLC25A13;SLC28A2;SLC29A3;SLC2A5;SLC38A6;SLC44A1;SLC44A2;SLC4A7;SLC7A11;SLC7A2;SLC7A7;SLC9A9;SLCO2B1;SNAP23;SPINT1;SRGAP2;ST14;STAT3;STK10;STK17B;STOM;STXBP2;SUCLG2;SULF2;SVIL;SWAP70;SYK;SYNE2;TCIRG1;TES;TGFB1;TGFBR1;TGFBR2;TLN1;TLR1;TLR2;TLR3;TLR4;TLR6;TLR7;TLR8;TLR9;TMBIM1;TMEM100;TMEM106A;TMEM63A;TNFRSF11A;TNFRSF14;TNFRSF19;TNFRSF1B;TNFSF10;TNFSF13B;TREM2;TRPC6;TRPM2;TSPAN14;TTYH2;TYROBP;UBR4;VAV1;VCAM1;VIM;VTN;WAS;WASF2	4.82287412216435e-26
10	GO:0071944	8.78214411726785e-28	2.17284846918174	266.704259043174	416	5297	cell periphery	ABCA1;ABCB1;ABCB1;ABCB4;ABCC1;ACSBG1;ACTL6A;ADAM17;ADAP2;ADCY4;ADCY7;ADGRE1;ADGRE5;ADGRF5;ADGRG5;ADGRG6;AHNAK;AIF1;AKAP13;ANXA1;ANXA2;ANXA3;APBB1IP;APOE;AQP4;ARAP1;ARHGAP17;ARHGAP25;ARL11;ARRDC4;ATP1A2;ATP6V0A2;ATP7A;AXL;B2M;B4GALT1;BIN2;BLNK;BST2;BTK;C3;C3AR1;C4A;C4B;C5AR1;C5AR2;C7;CALCRL;CALR;CAPN3;CAPNS2;CA11;CARD11;CASP1;CASP8;CCR2;CCR5;CD14;CD180;CD2;CD200R1L;CD200R1;CD22;CD2AP;CD302;CD33;SIGLEC6;CD34;CD37;CD38;CD3G;CD4;CD44;CD48;CD53;CD6;CD69;CD74;CD79A;CD80;CD82;CD84;CD86;CD9;CDH5;CDH6;CLEC12A;CLEC2D;CLEC4A;CLEC4C;CLIC1;CLU;CMKLR1;CMTM6;CNP;CORO1A;CORO1B;CP;CPNE3;CSF1;CSF1R;CSF2RA;CSF2RB;CSF3R;CSPG4;CTNNA1;CTNNAL1;CTNS;CTSB;CTSZ;CX3CR1;CXCL10;CXCL16;CXCL9;CXCR3;CXCR4;CYBA;CYBB;CYTH4;DAB2;DAPP1;DBNL;DDX58;DENND4C;DNAJC13;DNM2;DOCK8;DST;EDNRB;EGFR;EHD4;ENG;ENPP3;ENPP6;ENTPD1;ENTPD2;EPB41L2;ERAP1;EVI2B;F10;FAS;FCER1G;FCGR2C;FCGR2B;FCGR2A;FCN1;FGD2;FGR;FLNA;FLRT3;FMNL3;FN1;FRYL;FYB1;GAPT;GLDC;GLIPR1;GM2A;GMIP;GNA13;GNA15;GNAI3;GOLM1;GPAM;GPNMB;GPR137B;GPR17;GPR18;GPR37L1;GPR65;GRN;GSN;HAVCR2;HCK;HCLS1;HK2;HMOX1;HNRNPF;HSPA5;ICAM1;ICOS;IFITM1;IFITM1;IFITM1;IFNGR1;IGSF6;IRGM;IL10RA;IL10RB;IL13RA1;IL15RA;IL17RA;IL18R1;IL21R;IL2RB;IL2RG;IL7R;INPP5B;INPP5D;IQGAP1;IRAK3;IRAK4;ITGA4;ITGA6;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;ITPR2;JAK3;KDR;KLRK1;KPNA2;LAG3;LAPTM5;LAT2;LCP1;LCP2;LGALS3;LIMA1;LITAF;LPCAT2;LPXN;IRAG2;LRP1;LRP4;LY6E;LY75;LY96;LYN;MACF1;MAG;MAGT1;MANBA;MARCKS;MERTK;MGST1;MLC1;MLKL;MMP2;MOSPD2;MSN;MYD88;MYH9;MYLIP;MYO1E;MYO1F;MYO1G;MYO6;MYO9B;NAMPT;NCF1;NCF2;NCF4;NFAM1;NFE2L2;NIN;NOD1;NOSTRIN;NOTCH1;NOTCH2;NPC1;NRP1;NT5E;OAS3;OCLN;OLR1;OSMR;P2RX7;P2RY12;P2RY13;P2RY14;P2RY6;P4HB;PAG1;PAK2;PARP14;PARVG;PCDH18;PDGFC;PDGFRA;PDPN;PDS5A;PECAM1;PIEZO1;PIK3AP1;PIK3CD;PIK3CG;PIK3R5;PIK3R6;PIM1;LILRB3;LILRB4;PLCG2;PLD1;PLEK;PLEKHN1;PLIN2;PLIN4;PLSCR1;PLXNB2;PLXNB3;PNISR;PRCP;PRKCQ;PRKD2;PROS1;PSAP;PSD4;PSTPIP2;PTPN22;PTPN6;PTPRC;PTPRCAP;PTPRZ1;RAB13;RAC2;RALGAPA2;RAP1B;RASA4;RASA4B;RASAL3;RASGRP3;RASSF2;RGS1;RHOH;RIPK1;RIPK3;ROCK1;RYR3;S1PR3;SAMHD1;SCIMP;SCIN;SDC4;SECTM1;SELPLG;SEMA3D;SEMA4D;SEMA6A;SHC1;SIGLEC1;SKAP2;SLA;SLAMF6;SLAMF7;SLC10A6;SLC11A1;SLC12A9;SLC14A1;SLC15A4;SLC1A3;SLC1A4;SLC25A13;SLC28A2;SLC29A3;SLC2A5;SLC38A6;SLC44A1;SLC44A2;SLC4A7;SLC7A11;SLC7A2;SLC7A7;SLC9A9;SLCO2B1;SNAP23;SPINT1;SRGAP2;ST14;STAT3;STK10;STK17B;STOM;STXBP2;SUCLG2;SULF2;SVIL;SWAP70;SYK;SYNE2;TCIRG1;TES;TGFB1;TGFBR1;TGFBR2;TLN1;TLR1;TLR2;TLR3;TLR4;TLR6;TLR7;TLR8;TLR9;TMBIM1;TMEM100;TMEM106A;TMEM63A;TNFRSF11A;TNFRSF14;TNFRSF19;TNFRSF1B;TNFSF10;TNFSF13B;TREM2;TRPC6;TRPM2;TSPAN14;TTYH2;TYROBP;UBR4;VAV1;VCAM1;VIM;VTN;WAS;WASF2	7.23648675262871e-26
