GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0003954	5.69365478085649e-19	20.937240170298	4.28272656855151	28	39	NADH dehydrogenase activity	NDUFA1;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2	3.86788948112851e-16
2	GO:0008137	5.69365478085649e-19	20.937240170298	4.28272656855151	28	39	NADH dehydrogenase (ubiquinone) activity	NDUFA1;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2	3.86788948112851e-16
3	GO:0050136	5.69365478085649e-19	20.937240170298	4.28272656855151	28	39	NADH dehydrogenase (quinone) activity	NDUFA1;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2	3.86788948112851e-16
4	GO:0005515	4.49200682013739e-16	1.6689348399328	1416.04510516594	1549	12895	protein binding	A2M;ABCA1;ABCB1;ABCB1;ABCB4;ABCD1;ABHD4;ABI2;ABI3;ABLIM2;ACADL;ACAP2;ACKR1;ACOT13;ACTA1;ACTL6A;ACTN2;ACTR3B;ACTR3C;ACYP2;ADAM17;ADAMTS4;ADAP2;ADCY4;ADGRE5;ADGRF5;ADGRG6;ADORA2A;AEBP1;AFF1;AGA;AHNAK;AIF1;AIM2;AIP;TAF9;AKAP13;AKAP5;AKAP8L;AKNA;AKR1A1;AKT3;AKTIP;ALOX5AP;AMIGO1;AMIGO2;ANKFY1;ANKLE2;ANKRD29;ANKRD37;ANKRD44;ANKZF1;ANO3;ANXA1;ANXA2;ANXA3;AOAH;AP1G2;AP2S1;AP3B1;AP3S1;APBB1IP;APOBEC1;APOC1;APOE;APOL2;APOL1;APOO;AQP4;ARAP1;ARF1;ARF3;ARF5;ARHGAP17;ARHGAP31;ARHGAP4;ARHGAP44;ARHGAP6;ARHGDIB;ARHGEF40;ARHGEF6;ARL11;ARL15;ARL16;ARL2;ARL3;ARL4A;ARL8A;ARMC1;ARMCX3;ARNT;ARPC1B;ARPC5L;ARPP19;ARRDC4;ASCC3;ASIC2;ASPA;ASS1;ATAD2B;ATCAY;ATF2;ATM;ATMIN;ATOH7;ATP1A2;ATP5F1D;ATP5F1E;ATP5PD;ATP5PF;ATP5MG;ATP5PO;DONSON;ATP6V0A2;ATP6V0C;ATP6V1E1;ATP6V1F;ATP6V1G2;ATP7A;ATPAF1;ATP5IF1;ATXN7L3B;AXL;AZIN2;B2M;BABAM1;BARX2;BATF;BAZ1A;BAZ2B;BCAS2;BCCIP;BCL6;BECN1;BIN2;BLCAP;BLNK;BLOC1S2;BLOC1S4;BMP3;BNIP2;BNIP3;BOD1;BOD1L2;BOLA1;BOLA3;BORCS7;BPGM;BRK1;BRMS1L;BST2;BTBD1;BTF3L4;BTG3;BTK;BUD31;C1D;C1QA;C1QB;C1QC;C1QL2;C1QL3;C1QTNF4;C2;C3;C4A;C4B;C5AR1;C5AR2;CABP1;CABP7;CACNB1;CACNB3;CACNB4;CACNG2;CALCRL;CALM2;CALM3;CALR;CALY;CAMK1;CAMK2B;CAMK2N1;CAMK4;CAP2;CAPN3;CAPNS2;CARD11;CARD6;CARTPT;CASP1;CASP8;CBFB;CBR3;CBY1;CCDC25;CCDC42;CCDC93;CCKBR;CCL2;CCL3L1;CCL3L3;CCL18;CCL3;CCND1;CCNL1;CCNL2;CCR2;CCR5;CD14;CD180;CD2;CD200R1L;CD200R1;CD22;CD2AP;CD302;CD33;SIGLEC6;CD34;CD37;CD38;CD3G;CD4;CD44;CD48;CD53;CD6;CD69;CD74;CD79A;CD80;CD82;CD84;CD86;CD9;CDC42SE2;CDH18;CDH5;CDH6;CDIP1;CDK12;CDK17;CDK5R2;CDK5RAP2;CDKN2D;CDS1;CEBPA;CEBPD;CEND1;CENPQ;CEP19;CETN2;CETN3;CFAP20;CFAP36;CFL1;CFL2;CH25H;CHCHD1;CHCHD10;CHCHD2;CHD7;CHMP3;CHMP4B;CHP1;CHRM2;CIB2;CIITA;CINP;CISD1;CISD2;CLEC11A;CLEC12A;CLEC2D;CLEC4C;CLIC1;CLIP3;CLK1;CLK4;CLNS1A;CLPP;CLU;CLVS2;CMKLR1;CMTM3;CMTM6;CMTM7;CNIH1;CNN2;CNN3;CNPPD1;CNRIP1;CNTRL;COA3;COMMD10;COMMD5;COMMD8;COPRS;COPS7A;COPS8;COQ7;CORO1A;CORO1B;CORO2A;CORO2B;COX14;COX17;COX4I1;COX5A;COX5B;COX6C;COX7A2;COX7B;COX8A;CP;CPLX1;CPLX2;CPNE3;CPNE4;CRH;CRHBP;CRIP2;CRIPT;CRTAC1;CRY1;CSDC2;CSF1;CSF1R;CSF2RA;CSF2RB;CSF3R;CSPG4;CST6;CSTB;CTNNA1;CTNNAL1;CTNNBIP1;CTSB;CTSC;CTSD;CTSE;CTSH;CTSS;CTSZ;CTTNBP2NL;CX3CL1;CX3CR1;CXCL10;CXCL13;CXCL16;CXCL17;CXCL9;CXCR3;CXCR4;CXXC5;CYBA;CYBB;CYCS;CYFIP1;CYTH4;DAB2;DAPP1;DBNL;DCAF6;DCLRE1C;DCN;DCTD;DCTN3;DCUN1D2;DDX21;DDX25;DDX58;DDX60;DENND3;DENND4C;DENR;DHCR24;DHX58;DIRAS1;DIRAS2;DMTN;DNAJC12;DNAJC13;DNAJC15;DNAJC19;DNAJC30;DNAJC5;DNER;DNM1;DNM2;DOC2B;DOCK10;DOCK2;DOCK8;DONSON;DPH3;DPM3;DPP10;DRAP1;DRD2;DRD5;DST;DTD2;DTX3;DTX3L;DUSP14;DUSP19;DUSP26;DUT;DYNC1I1;DYNLL2;DYNLRB1;DYNLT3;EDEM1;EDNRB;EEF1B2;EEF1E1;EFEMP1;EFNA3;EFNB3;EGFR;EHD3;EHD4;EID1;EID2;EIF1B;EIF2AK2;EIF4EBP3;EIF5A2;ELF1;ELF4;ELK3;ELOF1;ELOVL1;EMB;ENDOG;ENG;ENPP6;ENSA;ENTPD1;ENTPD3;EP300;EPB41L2;EPHX4;ERAP1;ERCC1;ERGIC1;ERH;ESRRA;ESRRG;ETS1;ETV6;EVI2A;F10;F2RL2;FABP3;FAM118A;FAM131B;FAM131C;FAM162A;FAM163B;FAM174A;FAM229B;FAM83C;FAM83D;FAS;FBLN1;FBXL15;FBXL2;FBXW7;FCER1G;FCGR2C;FCGR2B;FCGR2A;FCN1;FERMT3;FGD2;FGD3;FGD4;FGF1;FGF12;FGF13;FGF18;FGF9;FGL2;FGR;FHOD1;FHOD3;FIBCD1;FIGN;FKBP1A;FKBP1B;FLI1;FLNA;FLRT3;FMC1;FMNL2;FMNL3;FN1;FNBP4;FRYL;FTL;FUCA1;FXN;FXYD6;FYB1;FYCO1;GABARAPL1;GABARAPL2;GABBR2;GAD1;GAL3ST3;GAP43;GAS7;GBP2;GBP5;GCHFR;GDPGP1;GET4;GFAP;GGCT;GIMAP7;GIPC2;GIT2;GJB5;GLB1;GLDC;GLRA1;GLRX3;GLRX5;GMFG;GMIP;GNA13;GNA15;GNAI3;GNAO1;GNB5;GNG13;GNG2;GNG3;GNG7;GNS;GOLGA7B;GOLM1;GP1BB;GPAM;GPN3;GPNMB;GPR135;GPR137B;GPR162;GPR17;GPR37L1;GPR61;GRAP;GRAPL;C12orf57;GREM1;GRK5;GRN;GRXCR1;GSAP;GSK3A;GSN;GSPT2;GTF2H3;GTF2H5;GUK1;HABP4;HACD4;HACE1;HAGH;HAND1;HAVCR2;HCK;HCLS1;HDAC5;HELZ2;HEXA;HEXB;HIGD2B;HINT1;HINT3;HK2;HMGA1;HMGB2;HMOX1;HMOX2;HNRNPF;HOMER1;HPCA;HPCAL1;HPGDS;HPS5;HPSE;HRAS;HSBP1;HSDL1;HSH2D;HSPA5;HSPB6;HSPBP1;HTR1A;HTR6;HYAL1;HYPK;ICA1;ICAM1;ICOS;IDUA;IFI30;IFI35;IFI44;IFIH1;IFIT1B;IFIT2;IFIT3;IFITM1;IFITM1;IFITM1;IFITM1;IFNE;IFNGR1;IFT20;IFT57;IRGM;IKZF1;IL10RA;IL10RB;IL13RA1;IL15RA;IL17RA;IL18;IL18R1;IL1A;IL1B;IL21R;IL2RB;IL2RG;IL7R;IMP3;INF2;INPP5A;INPP5B;INPP5D;INPP5J;INSIG1;IQGAP1;IQSEC3;IRAK1BP1;IRAK3;IRAK4;IRF1;IRF2BP1;IRF3;IRF4;IRF5;IRF7;IRF8;IRF9;ISCA2;ISG15;ITGA4;ITGA6;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;ITGB3BP;ITPA;ITPKB;ITPR2;JAGN1;JAK3;JAZF1;JOSD1;JUN;JUND;KAT6A;KCNAB3;KCNB1;KCNC2;KCNC4;KCNIP1;KCNIP2;KCNIP3;KCNIP4;KCNK1;KCNMB4;KCNS2;KCTD13;KCTD4;KDR;KIF11;KLC2;KLF16;KLF4;KLHDC3;KLHDC8A;KLHL5;KLHL6;KLRK1;KPNA2;KREMEN1;KRT222;KRT71;LACC1;LAG3;LAGE3;LAMTOR4;LANCL2;LAP3;LAPTM5;LAT2;LBH;LCMT1;LCP1;LCP2;LENG8;LGALS3;LGALS3BP;LGALS14;LGALS13;LGMN;LGR5;LIMA1;LIMK1;LIMS4;LIN7B;LINGO1;LITAF;LMO3;LPCAT2;LPXN;IRAG2;LRP1;LRP4;LRRC3B;LRRC61;LRRC73;LRRK1;LRRK2;LSM2;LSM7;LSM8;LY6E;LY6H;LY86;LY96;LYN;LYNX1;LYPD6;LYSMD1;LYZ;MACF1;MAF;MAFB;MAG;MAGEH1;MAL2;MALSU1;MALT1;MAN2B2;MAP1LC3A;MAP3K1;MAP3K8;MAP3K9;MAP4K1;MAP4K4;MAPK4;MAPK9;MAPKAPK2;MARCKS;MC5R;MCFD2;MCHR1;MCL1;MCM3;MCU;MDH1;MDN1;MEAF6;MED11;MED12;MED21;MED23;MED28;MED29;MED31;MED4;MEDAG;MEFV;MEPE;MERTK;MEST;MFF;MGA;MGST1;MGST3;MICAL2;MIEN1;MIS18BP1;MKI67;MLC1;MLF2;MLH1;MLKL;MLLT11;MMD;MMP2;MOAP1;MOB1A;MORN4;MOSPD2;MOSPD3;MOV10;MOXD1;MPC1;MPC2;MPHOSPH6;MPP3;MPP6;MRFAP1;MRFAP1L1;MRPL10;MRPL12;MRPL13;MRPL20;MRPL36;MRPL48;MRPL53;MRPL54;MRPS11;MRPS16;MS4A4A;MS4A6A;MS4A6E;MS4A6E;MS4A6A;MSN;MSRA;MSRB1;MTCH1;MTNR1B;MVP;MYADML2;MYD88;MYH9;MYLIP;MYO1E;MYO1F;MYO1G;MYO5B;MYO6;MYO9B;MZT1;NAMPT;NANOS1;NAP1L2;NAP1L5;NAPB;NAPRT;NCF1;NCF2;NCF4;NCOA3;NDEL1;NDFIP1;NDRG4;NDUFA11;NDUFA12;NDUFA13;NDUFA3;NDUFA4;NDUFA5;NDUFA7;NDUFA8;NDUFAB1;NDUFAF3;NDUFAF5;NDUFB10;NDUFB11;NDUFB5;NDUFB6;NDUFB9;NDUFS3;NDUFS7;NDUFV2;NECAB2;NECAP1;NEDD4L;NEDD8;NEFH;NEK6;NEK9;NENF;NEUROD2;NFAM1;NFATC1;NFE2L2;NFKB1;NFKBIE;NGB;NGEF;NHLRC1;NHP2;NIN;NIPBL;NKX2-4;NLK;NLRC4;NLRC5;NLRP1;NLRP3;NME1;NME3;NMI;NOD1;NOP10;NOS2;NOSTRIN;NOTCH1;NOTCH2;NPAS2;NPC1;NPC2;NPPC;NR4A2;NREP;NRG3;NRGN;NRIP2;NRIP3;NRP1;NRSN1;NRSN2;NSG1;NSMAF;NT5C3B;NT5E;NTAN1;NTS;NUDT16;NUP160;NUP205;NUS1;NXPH4;OAS1;OAS2;OAS3;OAZ1;OAZ2;OCLN;OLFM1;OLR1;OPTN;OSMR;OST4;OSTF1;P2RX7;P2RY12;P2RY13;P2RY6;P4HB;PACRG;PADI2;PAG1;PAK2;PAM;PAM16;PARD6A;PARK7;PARP1;PARP14;PARP9;PARVG;PCBD1;PCDH18;PCMT1;PCSK1;PCSK2;PDAP1;PDCD11;PDE3B;PDE6D;PDGFC;PDGFRA;PDIA4;PDK2;PDLIM5;PDPN;PDRG1;PDS5A;PECAM1;PENK;PEPD;PFDN1;PFDN2;PFDN6;PFN2;PGAM1;PGR;PHF11;PHF24;PHF5A;PHOSPHO2;PHYHD1;PHYHIP;PIANP;PIK3AP1;PIK3CD;PIK3CG;PIK3R6;PIM1;PIM2;PIN1;PIN4;PIP5K1B;LILRB3;LILRB4;PKIA;PLCB2;PLCG2;PLD1;PLEK;PLEKHN1;PLIN2;PLOD1;PLPP4;PLPP6;PLSCR1;PLTP;PLXNB2;PLXNB3;PML;PMM1;PNMA2;PNMA3;PNOC;PNP;POLE3;POLR2C;POLR2K;POLR2L;POLR3K;POMGNT2;POMP;POP5;POU2F2;PPIA;PPIL1;PPP1CA;PPP1R11;PPP1R18;PPP1R1B;PPP1R2;PPP1R2B;PPP2R2B;PPP3CB;PPP3R1;PRAF2;PRCP;PRDX2;PRDX5;PRIMPOL;PRKACA;PRKAG2;PRKCQ;PRKCZ;PRKD2;PRKD3;PRMT8;PROKR2;PRTN3;PSAP;PSAT1;PSD4;PSENEN;PSMB10;PSMB6;PSMB8;PSMB9;PSME1;PSME2;PSTPIP2;PTH2R;PTK2B;PTPMT1;PTPN22;PTPN6;PTPRC;PTPRCAP;PTPRN;PTPRZ1;PTRHD1;PTS;PYCARD;PYCR3;PYGL;RAB11B;RAB12;RAB13;RAB15;RAB28;RAB2A;RAB3A;RAB3B;RAB40B;RAB4A;RAB4B;RAB6B;RAB9B;RABAC1;RAC2;RAC3;RALGAPA2;RAMP1;RAP1B;RAP2A;RAPGEFL1;RARRES1;RASAL3;RASD1;RASD2;RASGEF1B;RASGRP1;RASGRP3;RASSF2;RASSF4;RBL1;RBM11;RBM15;RBM8A;RBMX2;RBP4;RBX1;REEP3;REEP5;REL;RELA;RENBP;REPS2;RERG;REST;RGS1;RGS2;RGS8;RHNO1;RHOH;RILPL2;RIMS3;RIMS4;RIN1;RIN3;RIPK1;RIPK2;RIPK3;RIT2;RNASEK;RND2;RNF113A;RNF208;RNF5;RNF7;ROCK1;ROMO1;RPH3A;RPL10A;RPLP0;RPP25;RPS24;RPS6KA1;RRAGD;RRM2;RSAD2;RSL24D1;RSPH1;RSPO2;RSPO3;RSU1;RTN4R;RUNDC3A;RUNX1;RWDD1;RXRG;RYR3;S1PR3;SALL1;SAMD9L;SAMHD1;SAMSN1;SATB2;SCAMP2;SCAND1;SCG5;IQCJ-SCHIP1;SCHIP1;SCIMP;SCIN;SCN1B;SCN3B;SCN4B;SCNM1;SCOC;SDC4;SDHAF4;SDHD;SEC23B;SEC24D;SEC61A1;SEC61G;SECTM1;SEH1L;SELPLG;SEMA3D;SEMA4D;SEMA4G;SEMA6A;SENP2;SERF1A;SERP2;SERPINB1;SERPINB9;SERPING1;SERTM1;SETDB2;SEZ6;SF3B5;SGPL1;SGTB;SH3BGRL3;SH3BP2;SH3GL2;SHC1;SHD;SHF;SHISA5;SIPA1;SKAP2;SLA;SLAMF6;SLAMF7;SLAMF8;SLC10A6;SLC11A1;SLC15A3;SLC15A4;SLC17A9;SLC18A2;SLC18A3;SLC1A3;SLC25A13;SLC25A4;SLC29A3;SLC2A5;SLC35G2;SLC38A6;SLC41A2;SLC4A7;SLC6A17;SLC7A11;SLC8A2;SLC8A3;SLC9A9;SLIRP;SLPI;SMAP2;SMARCAD1;SMC4;SMDT1;SMG1;SMIM14;SMIM20;SMPDL3A;SNAP23;SNAP25;SNAPC5;SNCA;SNCB;MATR3;SNRNP25;SNRPD2;SNRPD3;SNX10;SNX3;SNX7;SOAT1;SOX4;SOX9;SP140;SPA17;SPAG7;SPARC;SPCS1;SPI1;SPP1;SPRED1;SPRED2;SPRYD3;SPRYD7;SRGAP2B;SRGAP2C;SRGAP2;SRM;SRP14;SRP19;SRP9;SRXN1;SS18L2;SSH2;SSTR2;SSU72;ST8SIA5;STAC2;STAMBPL1;STARD10;STAT1;STAT3;STAT4;STAT6;STK10;STK3;STK32C;STMN3;STOM;STUB1;STX1B;STX8;STXBP2;SUB1;SUCLG2;SULT4A1;SUMO3;SUPT20H;SV2C;SVIL;SVOP;SWAP70;SYK;SYN1;SYNE2;SYNGR1;SYNGR2;SYNGR3;SYNPR;SYT12;SYT16;SYT2;TACR1;TAF1D;TAF9B;TAGAP;TAP1;TAP2;TAPBP;TBC1D1;TBC1D4;TBCA;TBR1;TBX19;TCEA2;TCEAL5;TCEAL6;TCEAL3;TCEAL6;TCEAL3;TCEAL5;TCEAL3;TCEAL6;TCEAL5;TCEAL7;TCEAL8;TCERG1L;TCF7L2;TCIRG1;TCN2;TDRKH;TEN1;TEP1;TES;TESC;TFEC;TGFB1;TGFBR1;TGFBR2;THAP4;THEM4;THEMIS2;THOC7;THRA;THRB;THY1;TIMM23;TIMP1;TLE3;TLN1;TLR1;TLR2;TLR3;TLR4;TLR6;TLR9;TMBIM1;TMEM100;TMEM106A;TMEM14A;TMEM154;TMEM176A;TMEM176B;TMEM199;TMEM203;TMEM218;TMEM258;TMEM38A;TMEM50B;TMEM54;TMEM60;TMEM63A;TMOD3;TMTC3;TNFAIP3;TNFRSF11A;TNFRSF14;TNFRSF19;TNFRSF1B;TNFSF10;TNFSF13B;TNPO1;TNS3;TOMM20;TOMM40L;TOMM6;TOMM7;TOP2A;TPD52L1;TPGS2;TPM1;TPP1;TRAF3IP3;TRAFD1;TRAPPC1;TRAPPC2L;TRAPPC4;TRAPPC6B;TREM2;TREX1;TRIAP1;TRIM21;TRIM25;TRIM5;TRIM5;TRIM6;TRPC6;TRPS1;TSPAN14;TSPAN17;TSPAN33;TSPO;TSPYL1;TSPYL5;TSR2;TTC1;TTC39B;TTLL1;TTLL7;TTYH2;TUSC2;TXN2;TXNDC17;TXNIP;TYK2;TYR;TYROBP;TYW3;UBA7;UBALD1;UBD;UBE2A;UBE2D1;UBE2E1;UBE2E2;UBE2L3;UBE2L5;UBE2L6;UBE2S;UBE2V2;UBL3;UBL4A;UBL5;UBR2;UBR4;UBXN2A;UCP2;UHRF1BP1;UNC93B1;UPF3A;UQCRB;UQCRH;USP16;USP41;USP18;USP2;USP25;USP46;VAMP1;VAMP2;VAMP4;VAPA;VAV1;VCAM1;VCAN;VDAC1;VGF;VIM;VPS13A;VPS29;VPS54;VSNL1;VSTM2L;VTI1B;VTN;VWA5A;VWF;WAS;WASF1;WASF2;WBP2;WDR81;WIPF1;WIPF3;WNK1;WNT2B;WRN;WSB1;WWC1;XDH;YPEL5;ZBP1;ZC3H11A;ZC3HAV1;ZCCHC17;ZCCHC7;ZDHHC2;ZDHHC22;ZFHX3;ZNF217;ZNF248;ZNF365;ZFP36L1;ZFP36L2;ZNF385B;ZNF511;ZNF575;ZNF32;ZFYVE26;ZIC1;ZMAT2;ZMAT3;ZMPSTE24;ZSWIM2;ZWINT	2.28867747486e-13
5	GO:0016655	1.21966879117747e-13	8.84916295825387	5.92992909491748	28	54	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	NDUFA1;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2	4.97136999283935e-11
6	GO:0016651	1.90281707484309e-13	5.36141906873614	10.8715366740154	39	99	oxidoreductase activity, acting on NAD(P)H	CYBA;CYBB;GSR;KMO;MICAL2;NCF1;NCF2;NCF4;NDUFA1;NDUFA12;NDUFA13;NDUFA2;NDUFA3;NDUFA4;NDUFA5;NDUFA6;NDUFA7;NDUFA8;NDUFAB1;NDUFB1;NDUFB10;NDUFB2;NDUFB3;NDUFB4;NDUFB5;NDUFB6;NDUFB8;NDUFB9;NDUFC1;NDUFC2-KCTD14;NDUFC2;NDUFS3;NDUFS4;NDUFS5;NDUFS7;NDUFV2;NNT;NOS2;TXNDC17	6.46323533088371e-11
7	GO:0044877	7.52937253412931e-10	1.68557780419094	131.776202109277	199	1200	protein-containing complex binding	ABCA1;ABLIM2;ACTL6A;ACTN2;ACTR3B;ACTR3C;ADAM17;ADGRG6;ADORA2A;AEBP1;AIF1;APOBEC1;APOE;APOL2;ARPC1B;ARPC5L;ATF2;ATM;ATMIN;ATP5PF;ATP5IF1;BMP2K;BRK1;C4A;CALR;CALY;CASP8;CCND1;CD22;CD2AP;CD3G;CD4;CD44;CD74;CD9;CDH5;CETN2;CFL1;CFL2;CIB2;CIITA;CLU;CORO1A;CORO1B;CORO2A;CORO2B;CRIPT;CTNNA1;CTNNAL1;CTSB;CTSS;CX3CL1;CYFIP1;DBNL;DCN;DCTN6;DMTN;DNM1;DNM2;DOCK2;DRD2;DST;DYNC1I1;DYNLL2;EGFR;EIF1B;EIF5A2;ENG;EPB41L2;ERCC1;FBLN1;FCER1G;FCGR2C;FCGR2B;FCGR2A;FERMT3;FGF1;FGR;FHOD1;FHOD3;FKBP1A;FLNA;FMNL2;FMNL3;FN1;FYB1;GAD1;GAS7;GCHFR;GLRA1;GMFG;GNA13;GNA15;GNAI3;GNAO1;GPNMB;GSN;HCLS1;HRAS;HSPA5;ICAM1;IFIH1;IFNE;IL1B;IQGAP1;ISG15;ITGA4;ITGA6;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;JUN;KDR;LCP1;LGALS3;LIMA1;LRP1;LRRK2;LYN;MACF1;MAFB;MALSU1;MARCKS;MLC1;MLH1;MLKL;MYH9;MYO1E;MYO1F;MYO1G;MYO5B;MYO6;NDEL1;NDUFA4;NDUFA8;NEFH;NIPBL;NME1;NOD1;P4HB;PARK7;PCSK2;PDGFRA;PIK3R5;PIM1;PLTP;PPP1CA;PRKCZ;PSTPIP2;PTK2B;PTPRC;PTPRN;PTPRZ1;RAP1B;RBP4;RBX1;RELA;RIPK1;RIPK3;RNF5;RPH3A;RTN4R;S1PR3;SCIN;SEC61A1;SHC1;SNCA;SNRPD3;SPARC;SPP1;SRP19;SRP9;SUCLG2;SVIL;SYK;SYNE2;TAPBP;TGFBR1;TGFBR2;THRA;THY1;TLN1;TLR2;TPM1;TREM2;TREX1;TXN2;UBD;UBE2S;VCAM1;VDAC1;VIM;VTN;VWF;WASF1;WASF2;WRN	2.19212303207936e-07
8	GO:0030234	1.65730690991082e-09	1.72601084685905	112.558839301674	174	1025	enzyme regulator activity	A2M;ACAP2;ADAP2;ALOX5AP;ANKLE2;ANXA1;ANXA2;ANXA3;APOBEC1;APOC1;APOE;ARAP1;ARF1;ARHGAP11A;ARHGAP15;ARHGAP17;ARHGAP25;ARHGAP30;ARHGAP31;ARHGAP4;ARHGAP44;ARHGAP6;ARHGDIB;ARHGEF6;ARL2;ARPP19;ATP7A;ATP5IF1;AZIN2;BCCIP;BMP2K;BNIP2;BOD1;BOD1L2;BST2;C3;C4A;C4B;CABP1;CALM2;CALM3;CAMK2N1;CAPN3;CASP1;CCKBR;CCL3;CCND1;CCNL1;CCNL2;CDK5R2;CDKN2D;CHP1;CNPPD1;CST6;CSTB;CTSA;CTSC;CTSH;CXCL10;DAD1;DBNL;DNAJC15;DNAJC19;DOCK2;DPM3;DTX3L;DUSP19;EGFR;EID1;EIF2AK2;ELFN1;ENSA;FBLN1;FBXW7;FGF13;FN1;GARNL3;GCHFR;GIT2;GM2A;GMFG;GMIP;GNB5;GREM1;HSPBP1;IRGM;IQGAP1;ITIH3;JUN;KLF4;LGALS3;LRRK2;MALT1;MMP17;MYO9B;NCF1;NCF2;NCF4;NLRC4;NLRP1;NOD1;NOTCH1;NRG3;NRP1;NSMAF;OAZ1;OAZ2;PAK2;PARK7;PARP9;PDE6D;PIK3R5;PIK3R6;PKIA;PPP1R11;PPP1R1B;PPP1R2;PPP1R2B;PPP2R2B;PRDX5;PRKAG2;PROS1;PSAP;PSME1;PSME2;PYCARD;RAB3A;RAB4A;RAC2;RALGAPA2;RARRES1;RASA4;RASA4B;RASAL3;RASGRP3;RENBP;RGS1;RGS2;RGS8;RGS9;RHOH;RIN1;RIN3;RIPK3;ROCK1;RPS6KA1;RUNDC3A;SCG5;SEC23B;SERPINB1;SERPINB9;SERPING1;SIPA1;SLPI;SMAP2;SNCA;SNCB;SPINT1;SPRED1;SPRED2;SRGAP2;STK3;TAGAP;TBC1D1;TBC1D4;TEN1;TESC;THY1;TIMP1;TXNIP;UBE2L3;WAS;WDR81;WNK1	4.22198935299782e-07
9	GO:0046933	2.28211271392037e-09	Inf	0.988321515819579	9	9	proton-transporting ATP synthase activity, rotational mechanism	ATP5F1D;ATP5F1E;ATP5MC3;ATP5PD;ATP5PF;ATP5MF;ATP5MG;ATP5PO;ATP6V0C	5.16771745663301e-07
10	GO:0009055	5.34746825790154e-09	3.92940187364881	11.2009771792886	33	102	electron transfer activity	AKR1A1;COX4I1;COX5A;COX5B;COX6B1;COX6C;COX7A2;COX7A2L;COX7B;COX8A;CYBA;CYBB;CYCS;GLDC;GLRX3;GLRX5;GPX2;GRXCR1;GSR;NCF1;NCF2;NDUFA12;NDUFA4;NDUFA4L2;NDUFS3;NDUFV2;SDHD;SH3BGRL3;UQCR11;UQCRH;UQCRHL;UQCRQ;XDH	1.08981403096033e-06
