GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	padj
1	GO:0044877	3.82938224162092e-17	2.49960724722084	61.4395610948775	131	1198	protein-containing complex binding	ABCA1;ACTL6A;ADAM17;ADGRG6;AEBP1;AIF1;APOBEC1;APOE;APOL2;ARPC1B;ATM;BMP2K;C4A;CALR;CASP8;CCND1;CD22;CD2AP;CD3G;CD4;CD44;CD74;CD9;CDH5;CIITA;CLU;CORO1A;CORO1B;CTNNA1;CTNNAL1;CTSB;CTSS;CYFIP1;DBNL;DCN;DNM2;DOCK2;DST;EGFR;ENG;EPB41L2;FBLN1;FCER1G;FCGR2C;FCGR2B;FCGR2A;FERMT3;FGR;FHOD1;FLNA;FMNL2;FMNL3;FN1;FYB1;GMFG;GNA13;GNA15;GNAI3;GPNMB;GSN;HCLS1;HSPA5;ICAM1;IFIH1;IL1B;IQGAP1;ISG15;ITGA4;ITGA6;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;JUN;KDR;LCP1;LGALS3;LIMA1;LRP1;LYN;MACF1;MAFB;MARCKS;MLC1;MLH1;MLKL;MYH9;MYO1E;MYO1F;MYO1G;MYO6;NIPBL;NOD1;P4HB;PCSK2;PDGFRA;PIK3R5;PIM1;PLTP;PSTPIP2;PTPRC;PTPRZ1;RAP1B;RELA;RIPK1;RIPK3;S1PR3;SCIN;SEC61A1;SHC1;SPARC;SPP1;SUCLG2;SVIL;SYK;SYNE2;TAPBP;TGFBR1;TGFBR2;TLN1;TLR2;TREM2;TREX1;UBD;VCAM1;VIM;VTN;VWF;WASF2;WRN	5.73641459794813e-14
2	GO:0005102	8.92761399849509e-15	2.19850349397244	77.4918003458763	147	1511	signaling receptor binding	A2M;ABCA1;ADAM17;ANXA1;APOE;APOL2;ARAP1;ARNT;BLNK;C3;CALR;CASP8;CCL2;CCL3L1;CCL3L3;CCL18;CCL3;CCR2;CD2;CD22;CD2AP;CD3G;CD4;CD74;CD9;CDH5;CLEC2D;CLU;CMTM3;CMTM7;CPNE3;CSF1;CXCL10;CXCL13;CXCL16;CXCL9;DNM2;DOCK2;DST;EDNRB;EFEMP1;EGFR;ENG;EP300;ERAP1;FCN1;FERMT3;FGL2;FGR;FLNA;FLRT3;FN1;FYB1;GMFG;GNA13;GNA15;GNAI3;GPNMB;GPR17;GRN;HCK;HMGB2;ICAM1;IDUA;IL13RA1;IL17RA;IL18;IL1A;IL1B;IRAK4;ISG15;ITGA4;ITGAM;ITGAX;ITGB1;ITGB2;KDR;KLRK1;LAG3;LCP1;LGALS3;LRP1;LRP4;LY96;LYN;MAG;MED12;MSN;MYD88;MYH9;MYO9B;NAMPT;NCOA3;NOTCH1;OSMR;P2RX7;P4HB;PADI2;PARP1;PDGFC;PDGFRA;PDPN;PIK3AP1;PIK3CG;PLSCR1;PSAP;PTPRC;PTPRZ1;PYCARD;RIPK1;RIPK2;S1PR3;SECTM1;SELPLG;SEMA3D;SEMA4D;SEMA6A;SHC1;SLA;SPP1;STAT1;STAT3;SYK;TAP1;TAP2;TAPBP;TCF7L2;TGFB1;TGFBR1;TGFBR2;TIMP1;TLN1;TLR1;TLR2;TLR4;TLR6;TLR9;TMBIM1;TNFSF10;TNFSF13B;TRIM25;TYK2;TYROBP;UNC93B1;VCAM1;VTN;VWF	6.21977391774721e-12
3	GO:0140375	1.24561560435525e-14	6.43786244848604	6.71834933508259	33	131	immune receptor activity	C3AR1;C5AR1;C5AR2;CCR2;CCR5;CD200R1;CD4;CD44;CD74;CMKLR1;CSF2RA;CSF2RB;CSF3R;CTSH;CX3CR1;CXCR3;CXCR4;FCER1G;FCGR2B;GPR17;IFNGR1;IL10RA;IL10RB;IL13RA1;IL15RA;IL17RA;IL18R1;IL21R;IL2RB;IL2RG;IL7R;KLRK1;OSMR	6.21977391774721e-12
4	GO:0005515	1.49827496561159e-12	1.93119250500167	660.757349871787	741	12884	protein binding	A2M;ABCA1;ABCB1;ABCB1;ABCB4;ABCD1;ABHD4;ABI3;ACADL;ACAP2;ACTL6A;ADAM17;ADAMTS4;ADAP2;ADCY4;ADGRE5;ADGRF5;ADGRG6;AEBP1;AFF1;AGA;AHNAK;AIF1;AIM2;AKAP13;AKAP8L;AKNA;ALOX5AP;ANKFY1;ANKLE2;ANKRD44;ANKZF1;ANXA1;ANXA2;ANXA3;AOAH;AP1G2;AP3B1;APBB1IP;APOBEC1;APOE;APOL2;APOL1;AQP4;ARAP1;ARHGAP17;ARHGAP31;ARHGAP4;ARHGDIB;ARHGEF40;ARHGEF6;ARL11;ARNT;ARPC1B;ARRDC4;ASCC3;ASPA;ATAD2B;ATM;ATP1A2;ATP6V0A2;ATP7A;AXL;B2M;BATF;BAZ1A;BAZ2B;BCL6;BIN2;BLNK;BNIP2;BST2;BTK;C1QA;C1QB;C1QC;C2;C3;C4A;C4B;C5AR1;C5AR2;CALCRL;CALR;CAPN3;CAPNS2;CARD11;CARD6;CASP1;CASP8;CBFB;CCDC93;CCL2;CCL3L1;CCL3L3;CCL18;CCL3;CCND1;CCNL1;CCNL2;CCR2;CCR5;CD14;CD180;CD2;CD200R1L;CD200R1;CD22;CD2AP;CD302;CD33;SIGLEC6;CD34;CD37;CD38;CD3G;CD4;CD44;CD48;CD53;CD6;CD69;CD74;CD79A;CD80;CD82;CD84;CD86;CD9;CDH5;CDH6;CDK12;CDK5RAP2;CEBPA;CEBPD;CH25H;CHD7;CIITA;CLEC12A;CLEC2D;CLEC4C;CLIC1;CLK1;CLK4;CLU;CMKLR1;CMTM3;CMTM6;CMTM7;CNN2;CNN3;CNPPD1;CNTRL;CORO1A;CORO1B;CP;CPNE3;CSF1;CSF1R;CSF2RA;CSF2RB;CSF3R;CSPG4;CTNNA1;CTNNAL1;CTSB;CTSC;CTSD;CTSE;CTSH;CTSS;CTSZ;CTTNBP2NL;CX3CR1;CXCL10;CXCL13;CXCL16;CXCL17;CXCL9;CXCR3;CXCR4;CYBA;CYBB;CYFIP1;CYTH4;DAB2;DAPP1;DBNL;DCLRE1C;DCN;DCTD;DDX21;DDX58;DDX60;DENND3;DENND4C;DHX58;DNAJC13;DNM2;DOCK10;DOCK2;DOCK8;DONSON;DST;DTX3L;EDEM1;EDNRB;EFEMP1;EGFR;EHD4;EIF2AK2;EIF4EBP3;ELF1;ELF4;ELK3;ELOVL1;ENG;ENPP6;ENTPD1;EP300;EPB41L2;ERAP1;ETS1;ETV6;EVI2A;F10;FAM83D;FAS;FBLN1;FCER1G;FCGR2C;FCGR2B;FCGR2A;FCN1;FERMT3;FGD2;FGD3;FGD4;FGL2;FGR;FHOD1;FLI1;FLNA;FLRT3;FMNL2;FMNL3;FN1;FNBP4;FRYL;FTL;FUCA1;FYB1;FYCO1;GBP2;GBP5;GFAP;GIMAP7;GIT2;GLB1;GLDC;GMFG;GMIP;GNA13;GNA15;GNAI3;GNS;GOLM1;GPAM;GPNMB;GPR137B;GPR17;GPR37L1;GRAP;GRAPL;GRN;GRXCR1;GSAP;GSN;HACD4;HAVCR2;HCK;HCLS1;HDAC5;HELZ2;HEXA;HEXB;HK2;HMGB2;HMOX1;HNRNPF;HPGDS;HPS5;HPSE;HSH2D;HSPA5;HYAL1;ICAM1;ICOS;IDUA;IFI30;IFI35;IFI44;IFIH1;IFIT1B;IFIT2;IFIT3;IFITM1;IFITM1;IFITM1;IFNGR1;IRGM;IKZF1;IL10RA;IL10RB;IL13RA1;IL15RA;IL17RA;IL18;IL18R1;IL1A;IL1B;IL21R;IL2RB;IL2RG;IL7R;INPP5B;INPP5D;IQGAP1;IRAK3;IRAK4;IRF1;IRF3;IRF4;IRF5;IRF7;IRF8;IRF9;ISG15;ITGA4;ITGA6;ITGAL;ITGAM;ITGAX;ITGB1;ITGB2;ITPKB;ITPR2;JAK3;JUN;KAT6A;KDR;KIF11;KLF4;KLHL5;KLHL6;KLRK1;KPNA2;LACC1;LAG3;LAP3;LAPTM5;LAT2;LCP1;LCP2;LENG8;LGALS3;LGALS3BP;LGALS14;LGALS13;LGMN;LIMA1;LIMS4;LITAF;LPCAT2;LPXN;IRAG2;LRP1;LRP4;LRRK1;LY6E;LY86;LY96;LYN;LYZ;MACF1;MAF;MAFB;MAG;MALT1;MAN2B2;MAP3K1;MAP3K8;MAP4K1;MAP4K4;MAPKAPK2;MARCKS;MCL1;MCM3;MDN1;MED12;MED23;MEFV;MERTK;MGA;MGST1;MIS18BP1;MKI67;MLC1;MLH1;MLKL;MMP2;MOB1A;MOSPD2;MOV10;MOXD1;MS4A4A;MS4A6A;MS4A6E;MS4A6E;MS4A6A;MSN;MVP;MYD88;MYH9;MYLIP;MYO1E;MYO1F;MYO1G;MYO6;MYO9B;NAMPT;NAPRT;NCF1;NCF2;NCF4;NCOA3;NEK6;NEK9;NFAM1;NFATC1;NFE2L2;NFKB1;NFKBIE;NIN;NIPBL;NLRC4;NLRC5;NLRP1;NLRP3;NMI;NOD1;NOSTRIN;NOTCH1;NOTCH2;NPC1;NPC2;NRP1;NSMAF;NT5E;NUP160;NUP205;OAS1;OAS2;OAS3;OCLN;OLR1;OSMR;OSTF1;P2RX7;P2RY12;P2RY13;P2RY6;P4HB;PADI2;PAG1;PAK2;PARP1;PARP14;PARP9;PARVG;PCDH18;PCSK2;PDCD11;PDE3B;PDGFC;PDGFRA;PDIA4;PDLIM5;PDPN;PDS5A;PECAM1;PEPD;PHF11;PHYHD1;PIK3AP1;PIK3CD;PIK3CG;PIK3R6;PIM1;LILRB3;LILRB4;PLCB2;PLCG2;PLD1;PLEK;PLEKHN1;PLIN2;PLOD1;PLSCR1;PLTP;PLXNB2;PLXNB3;PML;PNP;POU2F2;PPP1R18;PRCP;PRIMPOL;PRKCQ;PRKD2;PRKD3;PSAP;PSAT1;PSD4;PSMB10;PSMB8;PSMB9;PSME1;PSME2;PSTPIP2;PTPN22;PTPN6;PTPRC;PTPRCAP;PTPRZ1;PYCARD;PYGL;RAB13;RAC2;RALGAPA2;RAP1B;RARRES1;RASAL3;RASGRP3;RASSF2;RASSF4;RBL1;RBM15;REEP3;REL;RELA;RENBP;REST;RGS1;RHOH;RIN3;RIPK1;RIPK2;RIPK3;ROCK1;RPLP0;RPS6KA1;RRM2;RSAD2;RSU1;RUNX1;RYR3;S1PR3;SALL1;SAMD9L;SAMHD1;SAMSN1;SCAMP2;SCIMP;SCIN;SDC4;SEC23B;SEC24D;SEC61A1;SECTM1;SEH1L;SELPLG;SEMA3D;SEMA4D;SEMA6A;SERPINB1;SERPINB9;SERPING1;SETDB2;SGPL1;SH3BP2;SHC1;SHISA5;SIPA1;SKAP2;SLA;SLAMF6;SLAMF7;SLAMF8;SLC10A6;SLC11A1;SLC15A3;SLC15A4;SLC17A9;SLC1A3;SLC25A13;SLC29A3;SLC2A5;SLC38A6;SLC4A7;SLC7A11;SLC9A9;SLPI;SMARCAD1;SMC4;SMG1;SMPDL3A;SNAP23;SOAT1;SOX4;SOX9;SP140;SPARC;SPI1;SPP1;SRGAP2B;SRGAP2C;SRGAP2;SSH2;STAT1;STAT3;STAT4;STAT6;STK10;STK3;STOM;STXBP2;SUCLG2;SUPT20H;SVIL;SWAP70;SYK;SYNE2;SYNGR2;TAF1D;TAGAP;TAP1;TAP2;TAPBP;TBC1D1;TBC1D4;TBX19;TCF7L2;TCIRG1;TCN2;TEP1;TES;TFEC;TGFB1;TGFBR1;TGFBR2;THEMIS2;TIMP1;TLE3;TLN1;TLR1;TLR2;TLR3;TLR4;TLR6;TLR9;TMBIM1;TMEM100;TMEM106A;TMEM154;TMEM176A;TMEM176B;TMEM63A;TMOD3;TMTC3;TNFAIP3;TNFRSF11A;TNFRSF14;TNFRSF19;TNFRSF1B;TNFSF10;TNFSF13B;TNPO1;TNS3;TOP2A;TPP1;TRAF3IP3;TRAFD1;TREM2;TREX1;TRIM21;TRIM25;TRIM5;TRIM5;TRIM6;TRPC6;TRPS1;TSPAN14;TSPO;TTYH2;TXNIP;TYK2;TYROBP;UBA7;UBD;UBE2L6;UBR2;UBR4;UCP2;UHRF1BP1;UNC93B1;USP16;USP41;USP18;USP25;VAV1;VCAM1;VCAN;VIM;VPS13A;VPS54;VTN;VWA5A;VWF;WAS;WASF2;WDR81;WIPF1;WNK1;WRN;WSB1;XDH;ZBP1;ZC3H11A;ZC3HAV1;ZCCHC7;ZFHX3;ZNF217;ZFP36L1;ZFP36L2;ZFYVE26;ZMPSTE24	5.60233769316912e-10
5	GO:0030234	1.86993914992294e-12	2.29839547133572	52.464666944958	106	1023	enzyme regulator activity	A2M;ACAP2;ADAP2;ALOX5AP;ANKLE2;ANXA1;ANXA2;ANXA3;APOBEC1;APOE;ARAP1;ARHGAP11A;ARHGAP15;ARHGAP17;ARHGAP25;ARHGAP30;ARHGAP31;ARHGAP4;ARHGDIB;ARHGEF6;ATP7A;BMP2K;BNIP2;BST2;C3;C4A;C4B;CAPN3;CASP1;CCL3;CCND1;CCNL1;CCNL2;CNPPD1;CTSA;CTSC;CTSH;CXCL10;DBNL;DOCK2;DTX3L;EGFR;EIF2AK2;FBLN1;FN1;GIT2;GM2A;GMFG;GMIP;IRGM;IQGAP1;ITIH3;JUN;KLF4;LGALS3;MALT1;MYO9B;NCF1;NCF2;NCF4;NLRC4;NLRP1;NOD1;NOTCH1;NRP1;NSMAF;PAK2;PARP9;PIK3R5;PIK3R6;PROS1;PSAP;PSME1;PSME2;PYCARD;RAC2;RALGAPA2;RARRES1;RASA4;RASA4B;RASAL3;RASGRP3;RENBP;RGS1;RHOH;RIN3;RIPK3;ROCK1;RPS6KA1;SEC23B;SERPINB1;SERPINB9;SERPING1;SIPA1;SLPI;SPINT1;SRGAP2;STK3;TAGAP;TBC1D1;TBC1D4;TIMP1;TXNIP;WAS;WDR81;WNK1	5.60233769316912e-10
6	GO:0042802	7.85097328212634e-12	1.93077706141839	94.5697417854374	160	1844	identical protein binding	ABCD1;ABI3;ACADL;AIM2;ANXA1;ANXA2;APOE;ARNT;ASPA;ATM;B2M;BCL6;BST2;BTK;CASP1;CASP8;CCL3;CCR2;CCR5;CD2;CD2AP;CD38;CD3G;CD4;CD53;CD6;CD69;CD74;CD79A;CD84;CEBPA;CEBPD;CORO1A;CORO1B;CSF1;CSF1R;CTNNA1;CTSC;CTSE;CXCR3;CXCR4;DCTD;DDX21;DDX58;EGFR;EIF2AK2;ENG;ETS1;FAS;FBLN1;FCER1G;FHOD1;FLNA;FLRT3;FN1;FTL;GBP2;GBP5;GFAP;GIMAP7;GLB1;GLDC;HDAC5;HEXB;HMOX1;HPGDS;IFIH1;IFIT3;IRAK3;IRF3;IRF5;JUN;KDR;LCP1;LRP4;LRRK1;LYZ;MAFB;MAG;MALT1;MARCKS;MCL1;MEFV;MGST1;MLC1;MVP;MYD88;MYH9;NAMPT;NFKB1;NLRC4;NLRP3;NMI;NOD1;NOTCH1;OLR1;P2RX7;PADI2;PAK2;PARP1;PDGFC;PDGFRA;PECAM1;PIK3AP1;PIK3CG;PLEK;PML;PNP;PSAP;PSAT1;PSME2;PYCARD;PYGL;RASAL3;RELA;RENBP;RIPK1;RIPK2;RIPK3;RRM2;SAMHD1;SDC4;SLAMF7;SLAMF8;SLC11A1;SLC25A13;SRGAP2C;SRGAP2;STAT1;STAT3;STAT4;STAT6;STK10;STK3;STOM;TAF1D;TAP1;TGFB1;TLR1;TLR2;TLR3;TLR4;TLR6;TLR9;TNFAIP3;TNFSF10;TOP2A;TREX1;TRIM21;TRIM5;TRIM5;TRIM6;TRPC6;TYROBP;UHRF1BP1;VIM;VTN;VWF;WAS;WRN;XDH	1.96012632943754e-09
7	GO:0004896	1.18833601502929e-11	6.58557884231537	4.97465561452681	25	97	cytokine receptor activity	CCR2;CCR5;CD4;CD44;CD74;CMKLR1;CSF2RA;CSF2RB;CSF3R;CX3CR1;CXCR3;CXCR4;GPR17;IFNGR1;IL10RA;IL10RB;IL13RA1;IL15RA;IL17RA;IL18R1;IL21R;IL2RB;IL2RG;IL7R;OSMR	2.54303907216267e-09
8	GO:0008047	2.96067298825753e-11	2.7811540926107	26.2066909177649	64	511	enzyme activator activity	ACAP2;ADAP2;ALOX5AP;APOBEC1;APOE;ARAP1;ARHGAP11A;ARHGAP15;ARHGAP17;ARHGAP25;ARHGAP30;ARHGAP31;ARHGAP4;ARHGDIB;ARHGEF6;ATP7A;BNIP2;CASP1;CCL3;CTSA;CTSC;CTSH;DBNL;DOCK2;DTX3L;FBLN1;FN1;GIT2;GM2A;GMFG;GMIP;IRGM;IQGAP1;JUN;MALT1;MYO9B;NCF1;NCF2;NCF4;NLRC4;NLRP1;NOD1;NRP1;NSMAF;PAK2;PSAP;PSME1;PSME2;PYCARD;RALGAPA2;RASA4;RASA4B;RASAL3;RASGRP3;RGS1;RIN3;SEC23B;SIPA1;SRGAP2;STK3;TAGAP;TBC1D1;TBC1D4;WNK1	5.54386017051222e-09
9	GO:0005178	5.23055365146505e-11	5.10572937558497	7.02605999165126	29	137	integrin binding	ADAM17;CALR;CD9;DST;EGFR;FERMT3;FN1;GPNMB;ICAM1;IL1B;ISG15;ITGA4;ITGAM;ITGAX;ITGB1;ITGB2;KDR;LCP1;LYN;MYH9;P4HB;PTPRZ1;S1PR3;SPP1;SYK;TLN1;VCAM1;VTN;VWF	8.70596596654961e-09
10	GO:0019899	6.14996071931418e-11	1.81344757038469	112.468244975848	179	2193	enzyme binding	A2M;ABCA1;ABCB1;ABCB1;ABCD1;ACAP2;ADAMTS4;ADCY4;AKAP13;AKAP8L;ANKFY1;ANKLE2;ANXA2;AP3B1;ARHGAP17;ARHGAP4;ARHGDIB;ARHGEF40;ARHGEF6;ATP6V0A2;ATP7A;BLNK;CALR;CASP1;CASP8;CCND1;CD2;CD22;CD33;CD4;CD74;CDH5;CDK12;CDK5RAP2;CEBPA;CLU;CNPPD1;CPNE3;CSF1R;CSPG4;CTSC;CTTNBP2NL;CXCR4;CYFIP1;CYTH4;DDX58;DENND3;DENND4C;DNM2;DOCK10;DOCK2;DOCK8;DTX3L;EGFR;ETS1;FAM83D;FAS;FGD2;FGD3;FGD4;FGR;FLNA;FMNL2;FMNL3;FN1;GLDC;HACD4;HCLS1;HDAC5;HMOX1;HSPA5;IRGM;IL15RA;IQGAP1;ISG15;ITGAX;ITGB1;ITGB2;JAK3;JUN;KIF11;KLF4;KPNA2;LCP1;LGALS3;LRP1;LRP4;LYN;MAG;MALT1;MAP3K1;MAPKAPK2;MARCKS;MLH1;MLKL;MSN;MVP;MYO9B;NCF2;NCOA3;NEK6;NEK9;NFATC1;NIN;NIPBL;NLRC4;NLRP1;NOTCH1;NOTCH2;NPC2;NRP1;P2RY12;P4HB;PAK2;PARP1;PARP14;PARP9;PDE3B;PDLIM5;PLEK;PLSCR1;PML;PPP1R18;PRKD2;PSAP;PSD4;PTPN22;PTPN6;PTPRC;PYCARD;RAC2;RASGRP3;RELA;RHOH;RIN3;RIPK1;RIPK2;ROCK1;SDC4;SERPINB9;SHC1;SLPI;SOX9;SRGAP2B;SRGAP2C;SRGAP2;STAT1;STAT3;STAT6;STOM;SYK;TAGAP;TBC1D1;TBC1D4;TCF7L2;TCIRG1;TEP1;TGFB1;TGFBR2;TIMP1;TNFAIP3;TNFRSF14;TNFRSF1B;TNPO1;TOP2A;TREM2;TRIM21;TRIM5;TRIM5;TRIM6;TRPC6;TSPAN14;TXNIP;UBE2L6;UHRF1BP1;USP25;VAV1;VWF;WAS;WNK1;ZFHX3	9.21264115753265e-09
